n,residue_mod_8,alpha,family,search_hamming_radius,q_bits,defect_count,rho_squared_numerical,threshold_squared_numerical,delta_squared,evidence_status
32,0,-1,B1_TRUNCATE_LOCAL_REPAIR,0,10001000100010001000100010001000,8,7.752158315336135,7.809329625829035,-0.05717131049290014,NUMERICAL_EVIDENCE
34,2,1,B2_SINGLE_PHASE_SLIP,0,1000100010001000100010001000100000,8,7.901613226750362,7.830890658176514,0.07072256857384751,NUMERICAL_EVIDENCE
36,4,-1,B3_TWO_PHASE_SLIPS,0,100010001000100000100010001000100000,8,7.900979392057457,7.849000747596232,0.05197864446122491,NUMERICAL_EVIDENCE
38,6,1,B6_LOCAL_DEFECT_MUTATION,2,10001000100010001000100000100010000000,8,7.930963490504835,7.864357090206713,0.06660640029812193,NUMERICAL_EVIDENCE
40,0,-1,B1_TRUNCATE_LOCAL_REPAIR,0,1000100010001000100010001000100010001000,10,7.770477544139607,7.877489713780583,-0.10701216964097604,NUMERICAL_EVIDENCE
42,2,1,B2_SINGLE_PHASE_SLIP,0,100010001000100010001000100010001000100000,10,7.9040745450509,7.888807264022538,0.015267281028362056,NUMERICAL_EVIDENCE
44,4,-1,B5_LOCALIZED_MISMATCH_BLOCK,4,10001001001001000100100010001000100000000000,10,8.05445779321945,7.89862883099086,0.15582896222859066,NUMERICAL_EVIDENCE
46,6,1,B6_LOCAL_DEFECT_MUTATION,2,1000100010001000100010001000100000100010000000,10,7.932233761581189,7.90720646676826,0.025027294812929313,NUMERICAL_EVIDENCE
48,0,-1,B1_TRUNCATE_LOCAL_REPAIR,0,100010001000100010001000100010001000100010001000,12,7.7806314693481236,7.914741375325757,-0.13410990597763384,NUMERICAL_EVIDENCE
50,2,1,B2_SINGLE_PHASE_SLIP,0,10001000100010001000100010001000100010001000100000,12,7.904919714065006,7.921395724886218,-0.016476010821212306,NUMERICAL_EVIDENCE
52,4,-1,B3_TWO_PHASE_SLIPS,0,1000100010001000100010000010001000100010001000100000,12,7.904830211916214,7.927301383048212,-0.022471171131997814,NUMERICAL_EVIDENCE
54,6,1,B6_LOCAL_DEFECT_MUTATION,2,100010001000100010001000100010001000100000100010000000,12,7.932667406226973,7.932566456643533,0.00010094958344009086,NUMERICAL_EVIDENCE
56,0,-1,B1_TRUNCATE_LOCAL_REPAIR,0,10001000100010001000100010001000100010001000100010001000,14,7.786821830568633,7.9372802441501324,-0.15045841358149925,NUMERICAL_EVIDENCE
58,2,1,B2_SINGLE_PHASE_SLIP,0,1000100010001000100010001000100010001000100010001000100000,14,7.905212448631165,7.941517025728892,-0.036304577097727275,NUMERICAL_EVIDENCE
60,4,-1,B4_DISTRIBUTED_MISMATCH,0,100100010001000100100010001000100100010001000100100010001000,16,7.9913213161386425,7.945338992204157,0.04598232393448587,NUMERICAL_EVIDENCE
62,6,1,B6_LOCAL_DEFECT_MUTATION,0,10001000100010001000100010001000100010001000100010001000000000,14,7.977093938432001,7.948798529288779,0.028295409143222372,NUMERICAL_EVIDENCE
64,0,-1,B1_TRUNCATE_LOCAL_REPAIR,0,1000100010001000100010001000100010001000100010001000100010001000,16,7.790866647934998,7.951940014150855,-0.16107336621585677,NUMERICAL_EVIDENCE
66,2,1,B2_SINGLE_PHASE_SLIP,0,100010001000100010001000100010001000100010001000100010001000100000,16,7.905314445381976,7.954801239671582,-0.04948679428960556,NUMERICAL_EVIDENCE
68,4,-1,B3_TWO_PHASE_SLIPS,0,10001000100010001000100010001000001000100010001000100010001000100000,16,7.905302401333895,7.957414551957871,-0.05211215062397656,NUMERICAL_EVIDENCE
70,6,1,B6_LOCAL_DEFECT_MUTATION,0,1000100010001000100010001000100010001000100010001000100010001000000000,16,7.977101657438398,7.959807765187739,0.01729389225065958,NUMERICAL_EVIDENCE
72,0,-1,B1_TRUNCATE_LOCAL_REPAIR,0,100010001000100010001000100010001000100010001000100010001000100010001000,18,7.793651970223067,7.962004902207908,-0.16835293198484091,NUMERICAL_EVIDENCE
74,2,1,B2_SINGLE_PHASE_SLIP,0,10001000100010001000100010001000100010001000100010001000100010001000100000,18,7.905350098137494,7.96402679778047,-0.05867669964297573,NUMERICAL_EVIDENCE
76,4,-1,B4_DISTRIBUTED_MISMATCH,4,1000100100010001000100100010001000100010010001000100010001001000100000000000,18,8.01293244356615,7.965891592818784,0.04704085074736586,NUMERICAL_EVIDENCE
78,6,1,B6_LOCAL_DEFECT_MUTATION,0,100010001000100010001000100010001000100010001000100010001000100010001000000000,18,7.977103667117811,7.967615141544246,0.009488525573565276,NUMERICAL_EVIDENCE
80,0,-1,B1_TRUNCATE_LOCAL_REPAIR,0,10001000100010001000100010001000100010001000100010001000100010001000100010001000,20,7.795650356901635,7.969211348656531,-0.17356099175489614,NUMERICAL_EVIDENCE
82,2,1,B2_SINGLE_PHASE_SLIP,0,1000100010001000100010001000100010001000100010001000100010001000100010001000100000,20,7.905362579736626,7.970692449928178,-0.0653298701915519,NUMERICAL_EVIDENCE
84,4,-1,B3_TWO_PHASE_SLIPS,0,100010001000100010001000100010001000100000100010001000100010001000100010001000100000,20,7.905361044333938,7.972069246812617,-0.06670820247867848,NUMERICAL_EVIDENCE
86,6,1,B6_LOCAL_DEFECT_MUTATION,0,10001000100010001000100010001000100010001000100010001000100010001000100010001000000000,20,7.977104188362205,7.973351303477323,0.0037528848848813467,NUMERICAL_EVIDENCE
88,0,-1,B1_TRUNCATE_LOCAL_REPAIR,0,1000100010001000100010001000100010001000100010001000100010001000100010001000100010001000,22,7.797132179328072,7.974547112982371,-0.1774149336542994,NUMERICAL_EVIDENCE
90,2,1,B2_SINGLE_PHASE_SLIP,0,100010001000100010001000100010001000100010001000100010001000100010001000100010001000100000,22,7.905366952419517,7.975664238002789,-0.07029728558327175,NUMERICAL_EVIDENCE
92,4,-1,B4_DISTRIBUTED_MISMATCH,0,10010001000100010001000100100010001000100010001001000100010001000100010010001000100010001000,24,7.991006588179035,7.97670943045374,0.014297157725295051,NUMERICAL_EVIDENCE
94,6,1,B6_LOCAL_DEFECT_MUTATION,0,1000100010001000100010001000100010001000100010001000100010001000100010001000100010001000000000,22,7.977104323314659,7.977688733555867,-0.0005844102412080332,NUMERICAL_EVIDENCE
96,0,-1,B1_TRUNCATE_LOCAL_REPAIR,0,100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000,24,7.798261068000398,7.9786075692248275,-0.1803465012244292,NUMERICAL_EVIDENCE
98,2,1,B2_SINGLE_PHASE_SLIP,0,10001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100000,24,7.9053684847572425,7.979470813147165,-0.07410232838992226,NUMERICAL_EVIDENCE
100,4,-1,B3_TWO_PHASE_SLIPS,0,1000100010001000100010001000100010001000100010000010001000100010001000100010001000100010001000100000,24,7.905368293525277,7.980282859485499,-0.0749145659602215,NUMERICAL_EVIDENCE
102,6,1,B6_LOCAL_DEFECT_MUTATION,0,100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000000000,24,7.9771043582253265,7.98104767681796,-0.003943318592633638,NUMERICAL_EVIDENCE
104,0,-1,B1_TRUNCATE_LOCAL_REPAIR,0,10001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000,26,7.799140707256088,7.981768856642743,-0.18262814938665528,NUMERICAL_EVIDENCE
106,2,1,B2_SINGLE_PHASE_SLIP,0,1000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100000,26,7.905369021806823,7.982449655555677,-0.07708063374885388,NUMERICAL_EVIDENCE
108,4,-1,B4_DISTRIBUTED_MISMATCH,0,100100010001000100010001000100100010001000100010001000100100010001000100010001000100100010001000100010001000,28,7.997890356966364,7.983093032026423,0.014797324939941348,NUMERICAL_EVIDENCE
110,6,1,B6_LOCAL_DEFECT_MUTATION,0,10001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000000000,26,7.977104367252823,7.983701678549371,-0.006597311296548725,NUMERICAL_EVIDENCE
112,0,-1,B1_TRUNCATE_LOCAL_REPAIR,0,1000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000,28,7.79983935703178,7.984278049822118,-0.1844386927903381,NUMERICAL_EVIDENCE
114,2,1,B2_SINGLE_PHASE_SLIP,0,100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100000,28,7.90536921003988,7.984824387502531,-0.07945517746265107,NUMERICAL_EVIDENCE
116,4,-1,B3_TWO_PHASE_SLIPS,0,10001000100010001000100010001000100010001000100010001000001000100010001000100010001000100010001000100010001000100000,28,7.905369186430768,7.985342742010967,-0.07997355558019859,NUMERICAL_EVIDENCE
118,6,1,B6_LOCAL_DEFECT_MUTATION,0,1000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000000000,28,7.977104369586808,7.985834991773798,-0.008730622186989834,NUMERICAL_EVIDENCE
120,0,-1,B1_TRUNCATE_LOCAL_REPAIR,0,100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000,30,7.800403431852308,7.986302860245694,-0.1858994283933857,NUMERICAL_EVIDENCE
122,2,1,B2_SINGLE_PHASE_SLIP,0,10001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100000,30,7.905369276015894,7.986747930998838,-0.08137865498294428,NUMERICAL_EVIDENCE
124,4,-1,B4_DISTRIBUTED_MISMATCH,0,1001000100010001000100010001000100100010001000100010001000100010010001000100010001000100010001001000100010001000100010001000,32,7.990865244093307,7.987171661125895,0.003693582967411402,NUMERICAL_EVIDENCE
126,6,1,B6_LOCAL_DEFECT_MUTATION,0,100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000000000,30,7.977104370190197,7.9875753931686475,-0.01047102297845015,NUMERICAL_EVIDENCE
128,0,-1,B1_TRUNCATE_LOCAL_REPAIR,0,10001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000100010001000,32,7.800865377728741,7.987960365754739,-0.187094988025998,NUMERICAL_EVIDENCE
