period,k_first,count
17,1,93
17,2,1270
17,3,517
17,4,99
17,5,35
17,6,10
17,7,5
17,8,10
17,9,2
17,10,2
17,11,1
17,12,1
17,13,2
17,14,1
17,15,0
17,16,1
18,1,114
18,2,2524
18,3,939
18,4,195
18,5,70
18,6,14
18,7,11
18,8,13
18,9,5
18,10,5
18,11,4
18,12,2
18,13,4
18,14,2
18,15,1
18,16,1
19,1,130
19,2,5054
19,3,1361
19,4,417
19,5,102
19,6,26
19,7,11
19,8,13
19,9,7
19,10,6
19,11,6
19,12,4
19,13,1
19,14,4
19,15,1
19,16,2
20,1,156
20,2,9772
20,3,2742
20,4,579
20,5,238
20,6,45
20,7,23
20,8,26
20,9,15
20,10,6
20,11,5
20,12,5
20,13,7
20,14,3
20,15,5
20,16,2
21,1,176
21,2,18480
21,3,5206
21,4,1030
21,5,371
21,6,72
21,7,27
21,8,27
21,9,32
21,10,10
21,11,10
21,12,10
21,13,6
21,14,2
21,15,3
21,16,1
22,1,207
22,2,36748
22,3,8723
22,4,2108
22,5,584
22,6,120
22,7,50
22,8,51
22,9,27
22,10,30
22,11,19
22,12,8
22,13,10
22,14,6
22,15,9
22,16,3
23,1,232
23,2,69830
23,3,16915
23,4,3789
23,5,897
23,6,202
23,7,79
23,8,72
23,9,53
23,10,31
23,11,18
23,12,13
23,13,19
23,14,12
23,15,3
23,16,6
24,1,269
24,2,131290
24,3,36176
24,4,6532
24,5,1724
24,6,359
24,7,138
24,8,95
24,9,101
24,10,52
24,11,40
24,12,29
24,13,16
24,14,14
24,15,10
24,16,7
