period,canonical_q_code,q_bits,d,a,b,defect_gap_sequence,minimum_defect_separation,maximum_defect_separation,defect_density,primitive_q_period,primitive_tau_period,target_repetition,two_defect,near_antipodal,survived_through_k
17,1,10000000000000000,1,0,0,[0],0,0,0.058823529411764705,17,17,False,False,False,16
17,73,10010010000000000,3,0,0,"[3, 3, 11]",3,11,0.17647058823529413,17,17,False,False,False,16
17,137,10010001000000000,3,0,0,"[3, 4, 10]",3,10,0.17647058823529413,17,17,False,False,False,16
17,273,10001000100000000,3,0,0,"[4, 4, 9]",4,9,0.17647058823529413,17,17,False,False,False,16
17,8773,10100010010001000,5,0,1,"[2, 3, 4, 4, 4]",2,4,0.29411764705882354,17,17,False,False,False,16
17,8777,10010010010001000,5,0,0,"[3, 3, 3, 4, 4]",3,4,0.29411764705882354,17,17,False,False,False,16
17,9289,10010010001001000,5,0,0,"[3, 3, 3, 4, 4]",3,4,0.29411764705882354,17,17,False,False,False,16
18,0,000000000000000000,0,0,0,[],,,0.0,1,2,False,False,False,16
18,9,100100000000000000,2,0,0,"[3, 15]",3,15,0.1111111111111111,18,18,False,True,False,16
18,17,100010000000000000,2,0,0,"[4, 14]",4,14,0.1111111111111111,18,18,False,True,False,16
18,1097,100100100010000000,4,0,0,"[3, 3, 4, 8]",3,8,0.2222222222222222,18,18,False,False,False,16
18,1105,100010100010000000,4,0,1,"[2, 4, 4, 8]",2,8,0.2222222222222222,18,18,False,False,False,16
18,1161,100100010010000000,4,0,0,"[3, 3, 4, 8]",3,8,0.2222222222222222,18,18,False,False,False,16
18,2185,100100010001000000,4,0,0,"[3, 4, 4, 7]",3,7,0.2222222222222222,18,18,False,False,False,16
18,2193,100010010001000000,4,0,0,"[3, 4, 4, 7]",3,7,0.2222222222222222,18,18,False,False,False,16
18,4369,100010001000100000,4,0,0,"[4, 4, 4, 6]",4,6,0.2222222222222222,18,18,False,False,False,16
18,37449,100100100100100100,6,0,0,"[3, 3, 3, 3, 3, 3]",3,3,0.3333333333333333,3,3,False,False,False,16
19,1,1000000000000000000,1,0,0,[0],0,0,0.05263157894736842,19,19,False,False,False,16
19,73,1001001000000000000,3,0,0,"[3, 3, 13]",3,13,0.15789473684210525,19,19,False,False,False,16
19,137,1001000100000000000,3,0,0,"[3, 4, 12]",3,12,0.15789473684210525,19,19,False,False,False,16
19,273,1000100010000000000,3,0,0,"[4, 4, 11]",4,11,0.15789473684210525,19,19,False,False,False,16
19,1041,1000100000100000000,3,0,0,"[4, 6, 9]",4,9,0.15789473684210525,19,19,False,False,False,16
19,2065,1000100000010000000,3,0,0,"[4, 7, 8]",4,8,0.15789473684210525,19,19,False,False,False,16
19,4681,1001001001001000000,5,0,0,"[3, 3, 3, 3, 7]",3,7,0.2631578947368421,19,19,False,False,False,16
19,8777,1001001001000100000,5,0,0,"[3, 3, 3, 4, 6]",3,6,0.2631578947368421,19,19,False,False,False,16
19,9289,1001001000100100000,5,0,0,"[3, 3, 3, 4, 6]",3,6,0.2631578947368421,19,19,False,False,False,16
19,34953,1001000100010001000,5,0,0,"[3, 4, 4, 4, 4]",3,4,0.2631578947368421,19,19,False,False,False,16
20,0,00000000000000000000,0,0,0,[],,,0.0,1,2,False,False,False,16
20,9,10010000000000000000,2,0,0,"[3, 17]",3,17,0.1,20,20,False,True,False,16
20,17,10001000000000000000,2,0,0,"[4, 16]",4,16,0.1,20,20,False,True,False,16
20,585,10010010010000000000,4,0,0,"[3, 3, 3, 11]",3,11,0.2,20,20,False,False,False,16
20,1097,10010010001000000000,4,0,0,"[3, 3, 4, 10]",3,10,0.2,20,20,False,False,False,16
20,1105,10001010001000000000,4,0,1,"[2, 4, 4, 10]",2,10,0.2,20,20,False,False,False,16
20,1161,10010001001000000000,4,0,0,"[3, 3, 4, 10]",3,10,0.2,20,20,False,False,False,16
20,2185,10010001000100000000,4,0,0,"[3, 4, 4, 9]",3,9,0.2,20,20,False,False,False,16
20,2193,10001001000100000000,4,0,0,"[3, 4, 4, 9]",3,9,0.2,20,20,False,False,False,16
20,4369,10001000100010000000,4,0,0,"[4, 4, 4, 8]",4,8,0.2,20,20,False,False,False,16
