period,k,survivors
17,1,1963
17,2,693
17,3,176
17,4,77
17,5,42
17,6,32
17,7,27
17,8,17
17,9,15
17,10,13
17,11,12
17,12,11
17,13,9
17,14,8
17,15,8
17,16,7
18,1,3800
18,2,1276
18,3,337
18,4,142
18,5,72
18,6,58
18,7,47
18,8,34
18,9,29
18,10,24
18,11,20
18,12,18
18,13,14
18,14,12
18,15,11
18,16,10
19,1,7025
19,2,1971
19,3,610
19,4,193
19,5,91
19,6,65
19,7,54
19,8,41
19,9,34
19,10,28
19,11,22
19,12,18
19,13,17
19,14,13
19,15,12
19,16,10
20,1,13492
20,2,3720
20,3,978
20,4,399
20,5,161
20,6,116
20,7,93
20,8,67
20,9,52
20,10,46
20,11,41
20,12,36
20,13,29
20,14,26
20,15,21
20,16,19
21,1,25306
21,2,6826
21,3,1620
21,4,590
21,5,219
21,6,147
21,7,120
21,8,93
21,9,61
21,10,51
21,11,41
21,12,31
21,13,25
21,14,23
21,15,20
21,16,19
22,1,48527
22,2,11779
22,3,3056
22,4,948
22,5,364
22,6,244
22,7,194
22,8,143
22,9,116
22,10,86
22,11,67
22,12,59
22,13,49
22,14,43
22,15,34
22,16,31
23,1,91973
23,2,22143
23,3,5228
23,4,1439
23,5,542
23,6,340
23,7,261
23,8,189
23,9,136
23,10,105
23,11,87
23,12,74
23,13,55
23,14,43
23,15,40
23,16,34
24,1,176637
24,2,45347
24,3,9171
24,4,2639
24,5,915
24,6,556
24,7,418
24,8,323
24,9,222
24,10,170
24,11,130
24,12,101
24,13,85
24,14,71
24,15,61
24,16,54
