family,gap,n,m,alpha,rho_squared,iterations,residual_A2,dense_rho_squared,dense_sparse_difference
G6,6,50,5,1,7.904919714065006,1190,1.9815704263906211e-10,7.904919714065011,5.329070518200751e-15
G6,6,58,6,1,7.905212448631164,1236,1.9836926484132933e-10,7.905212448631165,8.881784197001252e-16
G6,6,66,7,1,7.905314445381977,1275,1.9967329225790378e-10,7.905314445381976,8.881784197001252e-16
G6,6,90,10,1,7.9053669524195165,1350,1.9796197207353003e-10,7.905366952419517,8.881784197001252e-16
G6,6,130,15,1,7.905369299140772,1376,1.9941739393685854e-10,,
G6,6,170,20,1,7.905369311554308,1389,1.9808761112527514e-10,,
G6,6,210,25,1,7.905369311619976,1372,1.9871809248583662e-10,,
G6,6,250,30,1,7.905369311620322,1376,1.9942814861220872e-10,,
G6,6,258,31,1,7.905369311620327,1382,1.981629358241703e-10,,
G6,6,290,35,1,7.905369311620328,1398,1.9732438801476918e-10,,
G6,6,330,40,1,7.905369311620326,1378,1.9964124671644789e-10,,
G6,6,370,45,1,7.905369311620325,1386,1.9867964921331626e-10,,
G6,6,410,50,1,7.905369311620329,1400,1.9965422051142585e-10,,
G6,6,450,55,1,7.9053693116203245,1382,1.9978630799379514e-10,,
G6,6,490,60,1,7.905369311620328,1391,1.9804974832278724e-10,,
G6,6,514,63,1,7.905369311620326,1402,1.9995671643963274e-10,,
G6,6,530,65,1,7.905369311620327,1398,1.9781742415128405e-10,,
G6,6,570,70,1,7.905369311620325,1385,1.977625036510005e-10,,
G6,6,610,75,1,7.905369311620326,1397,1.9737019474710693e-10,,
G6,6,650,80,1,7.905369311620328,1398,1.9862067895721751e-10,,
G6,6,690,85,1,7.905369311620327,1391,1.9858642624081826e-10,,
G6,6,730,90,1,7.905369311620326,1406,1.9826069537332066e-10,,
G6,6,770,95,1,7.905369311620326,1399,1.9763706520625716e-10,,
G6,6,810,100,1,7.9053693116203245,1395,1.9857392547706487e-10,,
G6,6,850,105,1,7.905369311620326,1409,1.9797485610531532e-10,,
G6,6,890,110,1,7.905369311620326,1396,1.9764959116007076e-10,,
G6,6,930,115,1,7.905369311620326,1397,1.9766676019798792e-10,,
G6,6,970,120,1,7.905369311620328,1412,1.9777165516112414e-10,,
G6,6,1010,125,1,7.905369311620328,1396,1.997355337816884e-10,,
G6,6,1026,127,1,7.905369311620329,1394,1.9758593704629617e-10,,
