n,family,parameter,alpha,gap_sequence,rho_squared,threshold_squared,delta_squared,below_8
44,R2_TWO_GAP6,3,-1,6 4 4 4 6 4 4 4 4 4,7.9101359538289255,7.89862883099086,0.011507122838065875,True
60,R2_TWO_GAP6,5,-1,6 4 4 4 4 4 6 4 4 4 4 4 4 4,7.908072877890263,7.945338992204157,-0.03726611431389326,True
76,R2_TWO_GAP6,7,-1,6 4 4 4 4 4 4 4 6 4 4 4 4 4 4 4 4 4,7.906458250944978,7.965891592818784,-0.059433341873806,True
92,R2_TWO_GAP6,9,-1,6 4 4 4 4 4 4 4 4 4 6 4 4 4 4 4 4 4 4 4 4 4,7.90577042230886,7.97670943045374,-0.07093900814487952,True
108,R2_TWO_GAP6,11,-1,6 4 4 4 4 4 4 4 4 4 4 4 6 4 4 4 4 4 4 4 4 4 4 4 4 4,7.905512527918551,7.983093032026423,-0.0775805041078712,True
124,R2_TWO_GAP6,13,-1,6 4 4 4 4 4 4 4 4 4 4 4 4 4 6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,7.905419858691441,7.987171661125895,-0.08175180243445457,True
140,R2_TWO_GAP6,15,-1,6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,7.90538707457169,7.989934721073107,-0.08454764650141655,True
156,R2_TWO_GAP6,17,-1,6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,7.90537554364023,7.991892612611559,-0.08651706897132883,True
172,R2_TWO_GAP6,19,-1,6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,7.905371496761402,7.993330264067582,-0.08795876730617991,True
188,R2_TWO_GAP6,21,-1,6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,7.90537007762673,7.9944168847068156,-0.08904680708008517,True
204,R2_TWO_GAP6,23,-1,6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,7.905369580123318,7.99525809690082,-0.08988851677750187,True
220,R2_TWO_GAP6,25,-1,6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,7.905369405733956,7.9959225935086495,-0.09055318777469346,True
236,R2_TWO_GAP6,27,-1,6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,7.905369344607948,7.996456613600429,-0.09108726899248154,True
252,R2_TWO_GAP6,29,-1,6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,7.90536932318272,7.996892206439478,-0.09152288325675784,True
268,R2_TWO_GAP6,31,-1,6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,7.90536931567302,7.997252153191054,-0.0918828375180345,True
