n,family,parameter,alpha,gap_sequence,rho_squared,threshold_squared,delta_squared,below_8
44,R1_SINGLE_GAP8,0,-1,8 4 4 4 4 4 4 4 4 4,7.929778027705333,7.89862883099086,0.03114919671447325,True
44,R1_SINGLE_GAP8,0,1,8 4 4 4 4 4 4 4 4 4,7.929800346693157,7.89862883099086,0.03117151570229737,True
44,R2_TWO_GAP6,0,-1,6 6 4 4 4 4 4 4 4 4,8.0619743110625,7.89862883099086,0.16334548007163985,False
44,R2_TWO_GAP6,0,1,6 6 4 4 4 4 4 4 4 4,8.06221586791587,7.89862883099086,0.1635870369250112,False
44,R2_TWO_GAP6,1,-1,6 4 6 4 4 4 4 4 4 4,7.9105857429357505,7.89862883099086,0.011956911944890791,True
44,R2_TWO_GAP6,1,1,6 4 6 4 4 4 4 4 4 4,7.913650404547084,7.89862883099086,0.015021573556224688,True
44,R2_TWO_GAP6,2,-1,6 4 4 6 4 4 4 4 4 4,7.95859792713227,7.89862883099086,0.059969096141410105,True
44,R2_TWO_GAP6,2,1,6 4 4 6 4 4 4 4 4 4,7.9596555735284635,7.89862883099086,0.06102674253760387,True
44,R2_TWO_GAP6,3,-1,6 4 4 4 6 4 4 4 4 4,7.9101359538289255,7.89862883099086,0.011507122838065875,True
44,R2_TWO_GAP6,3,1,6 4 4 4 6 4 4 4 4 4,7.919107891062146,7.89862883099086,0.020479060071286526,True
44,R2_TWO_GAP6,4,-1,6 4 4 4 4 6 4 4 4 4,7.924799732615059,7.89862883099086,0.02617090162419977,True
44,R2_TWO_GAP6,4,1,6 4 4 4 4 6 4 4 4 4,7.926326476275188,7.89862883099086,0.027697645284328054,True
44,R3_GAP10_PLUS_GAP2,0,-1,10 4 4 4 4 2 4 4 4 4,8.081871161582354,7.89862883099086,0.18324233059149453,False
44,R3_GAP10_PLUS_GAP2,0,1,10 4 4 4 4 2 4 4 4 4,8.081839797054387,7.89862883099086,0.1832109660635277,False
44,R4_THREE_PLUS2_ONE_MINUS2,0,-1,6 4 6 4 6 4 2 4 4 4,8.11174569075684,7.89862883099086,0.2131168597659796,False
44,R4_THREE_PLUS2_ONE_MINUS2,0,1,6 4 6 4 6 4 2 4 4 4,8.11205395744294,7.89862883099086,0.21342512645208078,False
60,R1_SINGLE_GAP8,0,-1,8 4 4 4 4 4 4 4 4 4 4 4 4 4,7.929791023957354,7.945338992204157,-0.01554796824680249,True
60,R1_SINGLE_GAP8,0,1,8 4 4 4 4 4 4 4 4 4 4 4 4 4,7.929792197294647,7.945338992204157,-0.015546794909509387,True
60,R2_TWO_GAP6,0,-1,6 6 4 4 4 4 4 4 4 4 4 4 4 4,8.062089189003771,7.945338992204157,0.11675019679961451,False
60,R2_TWO_GAP6,0,1,6 6 4 4 4 4 4 4 4 4 4 4 4 4,8.062101380274449,7.945338992204157,0.11676238807029193,False
60,R2_TWO_GAP6,1,-1,6 4 6 4 4 4 4 4 4 4 4 4 4 4,7.911980512312788,7.945338992204157,-0.0333584798913682,True
60,R2_TWO_GAP6,1,1,6 4 6 4 4 4 4 4 4 4 4 4 4 4,7.912341084338498,7.945338992204157,-0.03299790786565904,True
60,R2_TWO_GAP6,2,-1,6 4 4 6 4 4 4 4 4 4 4 4 4 4,7.959076099468161,7.945338992204157,0.013737107264004678,True
60,R2_TWO_GAP6,2,1,6 4 4 6 4 4 4 4 4 4 4 4 4 4,7.959193069610861,7.945338992204157,0.013854077406704413,True
60,R2_TWO_GAP6,3,-1,6 4 4 4 6 4 4 4 4 4 4 4 4 4,7.914426026034237,7.945338992204157,-0.030912966169919898,True
60,R2_TWO_GAP6,3,1,6 4 4 4 6 4 4 4 4 4 4 4 4 4,7.915501676765117,7.945338992204157,-0.02983731543903989,True
60,R2_TWO_GAP6,4,-1,6 4 4 4 4 6 4 4 4 4 4 4 4 4,7.925399239551786,7.945338992204157,-0.01993975265237058,True
60,R2_TWO_GAP6,4,1,6 4 4 4 4 6 4 4 4 4 4 4 4 4,7.925908736013814,7.945338992204157,-0.019430256190342554,True
60,R2_TWO_GAP6,5,-1,6 4 4 4 4 4 6 4 4 4 4 4 4 4,7.908072877890263,7.945338992204157,-0.03726611431389326,True
60,R2_TWO_GAP6,5,1,6 4 4 4 4 4 6 4 4 4 4 4 4 4,7.9113616003603955,7.945338992204157,-0.03397739184376114,True
60,R2_TWO_GAP6,6,-1,6 4 4 4 4 4 4 6 4 4 4 4 4 4,7.912302329662083,7.945338992204157,-0.033036662542073714,True
60,R2_TWO_GAP6,6,1,6 4 4 4 4 4 4 6 4 4 4 4 4 4,7.913770028776418,7.945338992204157,-0.03156896342773852,True
60,R3_GAP10_PLUS_GAP2,0,-1,10 4 4 4 4 4 4 2 4 4 4 4 4 4,8.081006565609867,7.945338992204157,0.13566757340571023,False
60,R3_GAP10_PLUS_GAP2,0,1,10 4 4 4 4 4 4 2 4 4 4 4 4 4,8.081028768661046,7.945338992204157,0.13568977645688918,False
60,R4_THREE_PLUS2_ONE_MINUS2,0,-1,6 4 4 6 4 4 6 4 4 2 4 4 4 4,8.092185196776834,7.945338992204157,0.14684620457267705,False
60,R4_THREE_PLUS2_ONE_MINUS2,0,1,6 4 4 6 4 4 6 4 4 2 4 4 4 4,8.09213500995976,7.945338992204157,0.14679601775560336,False
76,R1_SINGLE_GAP8,0,-1,8 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,7.929791583840835,7.965891592818784,-0.036100008977949294,True
