n,residue_mod_16,alpha,separation_index,arc_vertices,complement_vertices,arc_bulk_cells,lambda_1,lambda_2,lambda_1_squared,lambda_2_squared,rho_squared,mean_interface_level_squared,level_splitting_squared,mean_gap_from_c6
52,4,-1,0,6,46,0,2.831037394535115,2.7899671870340494,8.014772729256173,7.783916904726687,8.062066870318938,7.89934481699143,0.2308558245294856,-0.006024494628896981
52,4,1,0,6,46,0,2.830955341758714,2.794024149786901,8.014308147032198,7.806570949592414,8.062123677014295,7.910439548312306,0.20773719743978347,0.005070236691978813
52,4,-1,1,10,42,1,2.812761441646198,2.8044729517861167,7.911626927611597,7.865068537299934,7.911626927611603,7.888347732455766,0.04655839031166309,-0.017021579164561373
52,4,1,1,10,42,1,2.8129492995505134,2.8040482550434485,7.912683761841724,7.8626866166122085,7.912683761841729,7.887685189226966,0.049997145229515816,-0.017684122393361257
52,4,-1,2,14,38,2,2.8134351029173175,2.809425890404764,7.915417078327376,7.892873833676602,7.95894215326001,7.90414545600199,0.022543244650774064,-0.0012238556183374882
52,4,1,2,14,38,2,2.8124396365924444,2.8106177152490397,7.909816709476241,7.899571941271732,7.959325442079279,7.9046943253739865,0.010244768204509036,-0.0006749862463406586
52,4,-1,3,18,34,3,2.813066295969503,2.809418775026216,7.913341985519581,7.892833853469805,7.913341985519586,7.903087919494693,0.020508132049775973,-0.002281392125634163
52,4,1,3,18,34,3,2.8136270435817816,2.8086283614715266,7.916497140374757,7.888393272862232,7.916497140374767,7.902445206618495,0.028103867512524694,-0.0029241050018322667
52,4,-1,4,22,30,4,2.8128350635033708,2.8101371392936976,7.912041094474012,7.896870741637766,7.924995576319421,7.9044559180558895,0.015170352836245904,-0.0009133935644376479
52,4,1,4,22,30,4,2.8131543948211744,2.8096722721818406,7.913837649101688,7.8942582770674665,7.926287752387842,7.904047963084578,0.019579372034221443,-0.0013213485357495003
52,4,-1,5,26,26,5,2.811552989348806,2.811552989348806,7.904830211916206,7.904830211916206,7.904830211916211,7.904830211916206,0.0,-0.0005390997041212486
52,4,1,5,26,26,5,2.813178504439413,2.809699881345049,7.913973297839973,7.894413423230383,7.913973297839978,7.904193360535178,0.0195598746095893,-0.0011759510851492294
60,12,-1,0,6,54,0,2.831005855058348,2.7910440896156103,8.014594151374647,7.7899271101782315,8.062089189003771,7.902260630776439,0.22466704119641534,-0.0031086808438880453
60,12,1,0,6,54,0,2.830987150377364,2.793967403455945,8.014488245601747,7.806253851574355,8.062101380274449,7.9103710485880505,0.20823439402739208,0.005001736967723325
60,12,-1,1,10,50,1,2.812824294603697,2.804363511335262,7.911980512312786,7.864454703708641,7.911980512312788,7.888217608010713,0.04752580860414479,-0.017151703609614266
60,12,1,1,10,50,1,2.812888388176555,2.804175025225469,7.912341084338498,7.86339757209826,7.912341084338498,7.887869328218379,0.0489435122402373,-0.01749998340194825
60,12,-1,2,14,46,2,2.813125993925608,2.8098347024157633,7.913677857699939,7.895171054899881,7.959076099468161,7.90442445629991,0.018506802800058786,-0.0009448553204167709
60,12,1,2,14,46,2,2.8127895797349054,2.810270412717816,7.911785219865266,7.897619792597164,7.959193069610861,7.904702506231215,0.014165427268101993,-0.000666805389112568
60,12,-1,3,18,42,3,2.8132589688889706,2.8091917588979367,7.914426026034234,7.891558338260084,7.914426026034237,7.902992182147159,0.02286768777415027,-0.00237712947316826
60,12,1,3,18,42,3,2.81345013760065,2.8088892930259357,7.915501676765117,7.889859060475741,7.915501676765117,7.9026803686204286,0.025642616289375475,-0.002688942999898636
60,12,-1,4,22,38,4,2.811956958710884,2.811262035765156,7.9071019376425635,7.903194233734449,7.925399239551786,7.905148085688506,0.00390770390811479,-0.0002212259318215004
60,12,1,4,22,38,4,2.812304605804551,2.810854724746792,7.909057195829492,7.900904283631363,7.925908736013814,7.904980739730428,0.008152912198128526,-0.00038857188989904756
60,12,-1,5,26,34,5,2.8121295983454,2.811047645543815,7.908072877890261,7.901988865517427,7.908072877890263,7.905030871703843,0.006084012372833847,-0.00033843991648385696
60,12,1,5,26,34,5,2.812714276345963,2.8103529943457897,7.9113616003603955,7.898083952828346,7.9113616003603955,7.904722776594371,0.013277647532049741,-0.0006465350259565739
60,12,-1,6,30,30,6,2.812881499399163,2.8101160101697467,7.912302329662083,7.896751990612335,7.912302329662083,7.904527160137209,0.015550339049747564,-0.0008421514831180588
60,12,1,6,30,30,6,2.813142376200753,2.8097487594881945,7.913770028776418,7.894688091445448,7.913770028776418,7.904229060110933,0.019081937330970078,-0.001140251509394119
68,4,-1,0,6,62,0,2.8309986366095132,2.7917308456399943,8.014553280484924,7.793761114497798,8.062094033497925,7.904157197491361,0.2207921659871257,-0.0012121141289664905
68,4,1,0,6,62,0,2.830994385881457,2.7939252021214696,8.014529212892327,7.806018035049495,8.062096536929339,7.910273623970911,0.20851117784283257,0.004904312350583417
68,4,-1,1,10,58,1,2.8128455862849973,2.8043130309842903,7.91210029228299,7.864171575748297,7.9121002922829975,7.888135934015644,0.04792871653469355,-0.017233377604683575
68,4,1,1,10,58,1,2.8128673688289925,2.8042294361827067,7.9122228346229395,7.863702730753581,7.912222834622944,7.887962782688261,0.048520103869358344,-0.0174065289320664
68,4,-1,2,14,54,2,2.813017680010201,2.8099779895873107,7.913068468049973,7.8959763019651446,7.959117819556579,7.904522385007558,0.017092166084828442,-0.0008469266127688613
68,4,1,2,14,54,2,2.8129038850504546,2.810137724431764,7.912428266531942,7.896874030274533,7.959151505548843,7.904651148403238,0.015554236257409038,-0.0007181632170896179
68,4,-1,3,18,50,3,2.8133234541955745,2.8091009762680694,7.9147888579269186,7.891048294870221,7.9147888579269265,7.902918576398569,0.02374056305669736,-0.0024507352217577605
68,4,1,3,18,50,3,2.8133878681870237,2.8089861358958297,7.915151296861926,7.890403111654985,7.915151296861926,7.902777204258456,0.02474818520694111,-0.002592107361871321
68,4,-1,4,22,46,4,2.811625452956656,2.811624500058922,7.905237687713721,7.905232329331583,7.925568577060618,7.905235008522652,5.358382137998774e-06,-0.000134303097675037
