family,n,alpha,gap_sequence,R_squared,threshold_squared,delta,solver,evidence_status
G6,18,1,6 4 4 4,7.874035029915879,7.411474127809773,0.4625609021061061,dense eigvalsh,NUMERICALLY_ABOVE_THRESHOLD
G6,26,1,6 4 4 4 4 4,7.894413423230375,7.712795686158524,0.1816177370718517,dense eigvalsh,NUMERICALLY_ABOVE_THRESHOLD
G6,34,1,6 4 4 4 4 4 4 4,7.901613226750367,7.830890658176514,0.07072256857385284,dense eigvalsh,NUMERICALLY_ABOVE_THRESHOLD
G6,42,1,6 4 4 4 4 4 4 4 4 4,7.904074545050893,7.888807264022538,0.015267281028354951,dense eigvalsh,NUMERICALLY_ABOVE_THRESHOLD
G6,50,1,6 4 4 4 4 4 4 4 4 4 4 4,7.904919714065011,7.921395724886218,-0.016476010821206977,dense eigvalsh,CERTIFIED_COUNTEREXAMPLE
G6,58,1,6 4 4 4 4 4 4 4 4 4 4 4 4 4,7.905212448631165,7.941517025728892,-0.036304577097727275,dense eigvalsh,CERTIFIED_COUNTEREXAMPLE
G6,66,1,6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,7.905314445381976,7.954801239671582,-0.04948679428960556,dense eigvalsh,CERTIFIED_COUNTEREXAMPLE
G6,74,1,6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,7.905350098137491,7.96402679778047,-0.05867669964297839,dense eigvalsh,CERTIFIED_COUNTEREXAMPLE
G6,82,1,6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,7.905362579736623,7.970692449928178,-0.06532987019155456,dense eigvalsh,CERTIFIED_COUNTEREXAMPLE
G10,30,1,10 4 4 4 4 4,7.975218346290206,7.783386116752814,0.19183222953739243,dense eigvalsh,NUMERICALLY_ABOVE_THRESHOLD
G10,38,1,10 4 4 4 4 4 4 4,7.9765559220500935,7.864357090206713,0.1121988318433802,dense eigvalsh,NUMERICALLY_ABOVE_THRESHOLD
G10,46,1,10 4 4 4 4 4 4 4 4 4,7.976954345382849,7.90720646676826,0.06974787861458864,dense eigvalsh,NUMERICALLY_ABOVE_THRESHOLD
G10,54,1,10 4 4 4 4 4 4 4 4 4 4 4,7.9770645277643375,7.932566456643533,0.04449807112080428,dense eigvalsh,NUMERICALLY_ABOVE_THRESHOLD
G10,62,1,10 4 4 4 4 4 4 4 4 4 4 4 4 4,7.977093938432006,7.948798529288779,0.028295409143226813,dense eigvalsh,NUMERICALLY_ABOVE_THRESHOLD
G10,70,1,10 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,7.977101657438403,7.959807765187739,0.017293892250664022,dense eigvalsh,NUMERICALLY_ABOVE_THRESHOLD
G10,78,1,10 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,7.977103667117824,7.967615141544246,0.00948852557357771,dense eigvalsh,NUMERICALLY_ABOVE_THRESHOLD
