family,n,side,signed_cell,distance_cells,cell_l2_norm,log_cell_l2_norm
G6,514,left,-30,30,1.1893699946603595e-10,-22.852427179259085
G6,514,left,-29,29,1.3440521680946872e-10,-22.73016187304616
G6,514,left,-28,28,1.4250125645388574e-10,-22.671670299038464
G6,514,left,-27,27,1.390222271000813e-10,-22.69638728838682
G6,514,left,-26,26,1.2601027089050173e-10,-22.794657697295257
G6,514,left,-25,25,1.1091565529110723e-10,-22.922251065700134
G6,514,left,-24,24,1.0096000302486956e-10,-23.016296687174577
G6,514,left,-23,23,8.811909570987236e-11,-23.15233185607756
G6,514,left,-22,22,5.897713047772562e-11,-23.5538713661881
G6,514,left,-21,21,2.436865808964687e-10,-22.13513822084109
G6,514,left,-20,20,9.318402802820454e-10,-20.793859689016937
G6,514,left,-19,19,2.9035301744771646e-09,-19.657338538720932
G6,514,left,-18,18,8.48665991476582e-09,-18.584770328074836
G6,514,left,-17,17,2.433672838703787e-08,-17.531279171443543
G6,514,left,-16,16,6.945926440613884e-08,-16.48252537986596
G6,514,left,-15,15,1.9809918364909922e-07,-15.43449800415348
G6,514,left,-14,14,5.650400516877081e-07,-14.386369220369556
G6,514,left,-13,13,1.611897197834539e-06,-13.338098688968921
G6,514,left,-12,12,4.598589573863564e-06,-12.28976091586251
G6,514,left,-11,11,1.3119453204805772e-05,-11.241414451779793
G6,514,left,-10,10,3.7427243297347186e-05,-10.193111688310099
G6,514,left,-9,9,0.00010675736197973317,-9.144951943552153
G6,514,left,-8,8,0.00030438912765086987,-8.097203649924511
G6,514,left,-7,7,0.0008668590005036175,-7.0506342235862025
G6,514,left,-6,6,0.0024603429638042932,-6.0074545225747915
G6,514,left,-5,5,0.006914793775403201,-4.974092137100695
G6,514,left,-4,4,0.018878698625176077,-3.969721049391745
G6,514,left,-3,3,0.047090891219651744,-3.0556756890265615
G6,514,left,-2,2,0.08693988248548486,-2.4425384050961467
G6,514,left,-1,1,0.42612877247487185,-0.8530136955861453
G6,514,right,1,1,0.32665849334764724,-1.1188400166629888
G6,514,right,2,2,0.11923500910186965,-2.1266588669534014
G6,514,right,3,3,0.04238193130923485,-3.1610331559383478
G6,514,right,4,4,0.014927583610586596,-4.204544528447669
G6,514,right,5,5,0.0052410856264731515,-5.251226621483481
G6,514,right,6,6,0.0018381183836891548,-6.299012848151562
G6,514,right,7,7,0.0006444042883089338,-7.347184251952167
G6,514,right,8,8,0.00022588363844467616,-8.395490565423794
G6,514,right,9,9,7.91753864600854e-05,-9.443845084464202
G6,514,right,10,10,2.7751568404342483e-05,-10.492218200293568
G6,514,right,11,11,9.727060613291738e-06,-11.54059880264869
G6,514,right,12,12,3.4093968284019403e-06,-12.588975165481108
G6,514,right,13,13,1.195062830855899e-06,-13.63731179584089
G6,514,right,14,14,4.1895451168979926e-07,-14.68550348690393
G6,514,right,15,15,1.4693139480581556e-07,-15.733300061108205
G6,514,right,16,16,5.1572059366879386e-08,-16.78028579625291
G6,514,right,17,17,1.811757370680866e-08,-17.82638344668742
G6,514,right,18,18,6.3513434122088975e-09,-18.874599485439898
G6,514,right,19,19,2.185820583018e-09,-19.941274526032537
G6,514,right,20,20,6.915699189825004e-10,-21.09205685788532
G6,514,right,21,21,1.482904410504624e-10,-22.63184832570321
G6,514,right,22,22,6.155418108786306e-11,-23.51110333566431
G6,514,right,23,23,1.187668343744408e-10,-22.85385891990806
G6,514,right,24,24,1.2151843002505625e-10,-22.8309551772023
G6,514,right,25,25,1.0267244716351395e-10,-22.99947731966735
G6,514,right,26,26,9.071255002152418e-11,-23.12332539989521
G6,514,right,27,27,1.0407821616042861e-10,-22.985878420990808
G6,514,right,28,28,1.2980710182942518e-10,-22.76497159952336
G6,514,right,29,29,1.485017058489121e-10,-22.63042467055371
G6,514,right,30,30,1.5076597402237097e-10,-22.615292322270854
G10,510,left,-29,29,1.1530362597782916e-10,-22.883452240944816
G10,510,left,-28,28,1.3527897812497108e-10,-22.72368196514432
G10,510,left,-27,27,1.4109432759011096e-10,-22.68159245922365
G10,510,left,-26,26,1.3028454100689175e-10,-22.76130028037964
G10,510,left,-25,25,1.0763614250574727e-10,-22.952264627708033
G10,510,left,-24,24,8.702452074047255e-11,-23.164831189393897
G10,510,left,-23,23,8.825239983796936e-11,-23.1508202268535
G10,510,left,-22,22,1.0983336415640864e-10,-22.932056770019155
G10,510,left,-21,21,1.314247402307964e-10,-22.75258674578351
G10,510,left,-20,20,1.3905205305350188e-10,-22.696172770499597
G10,510,left,-19,19,1.2456631845948753e-10,-22.8061828634571
G10,510,left,-18,18,8.027853021011597e-11,-23.245518900462528
G10,510,left,-17,17,1.4242160934584517e-10,-22.6722293774395
G10,510,left,-16,16,7.001833040400462e-10,-21.0796789522509
G10,510,left,-15,15,2.783564643628301e-09,-19.69953348470963
G10,510,left,-14,14,1.0717272355881783e-08,-18.35140915809424
G10,510,left,-13,13,4.1278575944095666e-08,-17.002922213846457
G10,510,left,-12,12,1.5935790825925582e-07,-15.652113169079453
G10,510,left,-11,11,6.156726342105242e-07,-14.300550452646029
G10,510,left,-10,10,2.3773774450222064e-06,-12.949512591690535
G10,510,left,-9,9,9.162928654423301e-06,-11.60034470827984
G10,510,left,-8,8,3.516576496573696e-05,-10.255437534829724
G10,510,left,-7,7,0.00013370941511399863,-8.919841656634915
G10,510,left,-6,6,0.0004981990950716987,-7.60451077153347
G10,510,left,-5,5,0.0017773789436156396,-6.332615503463706
G10,510,left,-4,4,0.005861279707252865,-5.139387319157393
G10,510,left,-3,3,0.021295858095943115,-3.8492426807652222
G10,510,left,-2,2,0.1733780339605561,-1.752280901088251
G10,510,left,-1,1,0.7614208235924693,-0.2725690863238354
G10,510,right,1,1,0.18769042248683512,-1.6729613623343866
G10,510,right,2,2,0.05274087175516812,-2.942364568895763
G10,510,right,3,3,0.014141633217815494,-4.258632121802136
G10,510,right,4,4,0.003716423629923292,-5.594993462934236
G10,510,right,5,5,0.00096796043602098,-6.940319343402128
G10,510,right,6,6,0.0002510854057964918,-8.289717414571106
G10,510,right,7,7,6.500920567825969e-05,-9.640981672277247
G10,510,right,8,8,1.6817205841920937e-05,-10.993108038389101
G10,510,right,9,9,4.348659764221851e-06,-12.345642860515177
G10,510,right,10,10,1.1242594151248715e-06,-13.69838603674772
G10,510,right,11,11,2.9063328014817893e-07,-15.051203570178203
G10,510,right,12,12,7.5161702060465e-08,-16.403624016829127
G10,510,right,13,13,1.949293924466191e-08,-17.753213526964466
G10,510,right,14,14,5.1226226097196065e-09,-19.08959930057835
G10,510,right,15,15,1.412417480966794e-09,-20.37796307516898
G10,510,right,16,16,4.4323642156363036e-10,-21.53691780525365
G10,510,right,17,17,1.778668841665449e-10,-22.44998568717059
G10,510,right,18,18,1.0677802364494659e-10,-22.960268981690966
G10,510,right,19,19,1.0199858591363624e-10,-23.00606216633218
G10,510,right,20,20,1.1634956726009356e-10,-22.87442194548159
G10,510,right,21,21,1.2903161395313777e-10,-22.770963672187307
G10,510,right,22,22,1.31999055432078e-10,-22.748226349185373
G10,510,right,23,23,1.2398658579102733e-10,-22.81084773527991
G10,510,right,24,24,1.0949303334024998e-10,-22.935160191159458
G10,510,right,25,25,9.843516600471449e-11,-23.04162299761799
G10,510,right,26,26,1.005620482001212e-10,-23.020246183913237
G10,510,right,27,27,1.1383441801886719e-10,-22.896276196914954
G10,510,right,28,28,1.2729221798986679e-10,-22.784535743499553
G10,510,right,29,29,1.3244205737798026e-10,-22.744875868954725
