n,alpha,separation_bulk_cells,opposite_tail_bulk_cells,abs_Delta,log_abs_Delta,evidence_status
260,-1,1,30,0.04822138367701195144440196141984666528810649704392016716787633944266500040013708440634,-3.031952711555533,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,1,1,30,0.04822138367857530236994353133578297116203612706713742616872952326120593383356072742813,-3.0319527115231133,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,-1,2,29,0.02424183764884224891015513193610265099920780387156130867309485131199020229381147554278,-3.719675310058699,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,1,2,29,0.02424183764889069753924678383986356022950859277104180651153678320156322294505869769833,-3.7196753100567004,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,-1,3,28,0.009653769593763345065171154697268884156744643569313244882193719322242836517369092117548,-4.6404068084297885,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,1,3,28,0.009653769593803544327476039720771393589963751701204533077474816352606040213468100294036,-4.640406808425624,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,-1,4,27,0.003538189318701075949364837560717611250519176622013354290067764424226449104032461566887,-5.644140174585407,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,1,4,27,0.003538189318790599424570725199925833898653633507531684642988984528790504600929194712462,-5.644140174560104,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,-1,5,26,0.001260534616359030846579765759535914423867161579234899791778304356889889095436044976231,-6.676219349310346,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,1,5,26,0.001260534616605264137059882658614185811902979371462504242666442916988262328764151931765,-6.676219349115005,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,-1,6,25,0.0004444484072389632633683559612703890561692144515136410111760190138345169174632360531982,-7.718676578950548,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,1,6,25,0.0004444484079380140777871970481537525638079543867930090016317751188161626868193161688522,-7.718676577377698,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,-1,7,24,0.0001561122644964173099384171123198929069648456987581669940483694334519670703979536693052,-8.764935165326662,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,1,7,24,0.0001561122664895277783392758828705339615910214005405498416188998993610509096156708553422,-8.7649351525595,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,-1,8,23,0.00005475932298954048235667271562007102789436438117236322937346488954404277631796128166819,-9.812562920850173,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,1,8,23,0.00005475932867543788067026937572810816911971897556760339449086239526671890672437458936752,-9.812562817015852,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,-1,9,22,0.00001919852419421081490561914845656473404312892856329007789715971347221119209520489162501,-10.860677146769648,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,1,9,22,0.00001919854041599587062975878889552129617237658212472880138816337311054260546024687518456,-10.86067630182042,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,-1,10,21,0.000006729799964077665250833747023943983061708543261016078427897841963907648884174997649399,-11.908965137769039,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,1,10,21,0.000006729846245044473150623885094221946430116472647525279951469377774236028899924755379834,-11.908958260773003,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,-1,11,20,0.000002358854083763985407143826031091149464407403757183813010005016584707391343547823129156,-12.957334614575206,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,1,11,20,0.000002358986124136814110948187874520742270131738288462029657855643328828173331670806435786,-12.957278639651493,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,-1,12,19,0.000000826636860070575815636671828474325934409916449141223919613456809363188651710178499947,-14.005900343471778,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
260,1,12,19,0.0000008270135735243151902149211877790002901049489147692360886879389553514446317958135890553,-14.005444729089678,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE
