n,alpha,separation_bulk_cells,separation_index_in_gap_word,opposite_tail_bulk_cells,y_plus,y_minus,Delta,abs_Delta,precision_digits,precision_ladder,fp64_y_plus,fp64_y_minus,fp64_max_y_difference,route,evidence_status,splitting_ratio_to_previous
260,-1,1,1,30,7.912161683238937036362236938671223409895721750370735490997290609443841149377074357974,7.863940299561925084917834977251376744607615253326815323829414270001176148976937273568,0.04822138367701195144440196141984666528810649704392016716787633944266500040013708440634,0.04822138367701195144440196141984666528810649704392016716787633944266500040013708440634,160,"[{""digits"":80,""lambda"":[""2.812856498870665289019692268206047520188491004477531806033749454908433"",""2.804271794880432962794096550984491652128086468630390615412334623289888""],""y"":[""7.912161683238937036362236938671223409895721750370735491001106502227771"",""7.863940299561925084917834977251376744607615253326815323829624171843911""]},{""digits"":120,""lambda"":[""2.8128564988706652890196922682060475201884910044775318060330711599464505171925765290242380651572568583372101515"",""2.8042717948804329627940965509844916521280864686303906154122971979156580203234826250356184019447707859901793785""],""y"":[""7.9121616832389370363622369386712234098957217503707354909972906094438411493770743579744678615459038167049762931"",""7.8639402995619250849178349772513767446076152533268153238294142700011761489769372735681306192671771190834313485""]},{""digits"":160,""lambda"":[""2.81285649887066528901969226820604752018849100447753180603307115994645051719257652902423806515725683092462045550443042961961903446375030094570242462387"",""2.80427179488043296279409655098449165212808646863039061541229719791565802032348262503561840194477078417267429832168226762320983267435600071277130695322""],""y"":[""7.91216168323893703636223693867122340989572175037073549099729060944384114937707435797446786154590366248961413848466897120704774681283043782929323906212"",""7.86394029956192508491783497725137674460761525332681532382941427000117614897693727356813061926717710888987488145768747489802970841805866352838818774208""]}]",7.912161683238949,7.863940299561936,1.2158311968561961301e-14,FP64 localization followed by 4x4 finite-ring Evans root solving,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE,
260,1,1,1,30,7.91216168323893769211728360531549952138180226082604374676079350187406892573246839509,7.863940299560362389747340073979716550219766133758906320592063978612862991898907667662,0.04822138367857530236994353133578297116203612706713742616872952326120593383356072742813,0.04822138367857530236994353133578297116203612706713742616872952326120593383356072742813,160,"[{""digits"":80,""lambda"":[""2.812856498870665405583592156082229420254788176045665771548904319783274"",""2.804271794880154335170813407300515750822270286330400615026977423984504""],""y"":[""7.912161683238937692117283605315499521381802260826043746760065335844866"",""7.863940299560362389747340073979716550219766133758906320592137160172564""]},{""digits"":120,""lambda"":[""2.8128564988706654055835921560822294202547881760456657715490337551152033867690499058823369501937655199634053292"",""2.8042717948801543351708134073005157508222702863304006150269643757557563551460966177085166395198523110981261771""],""y"":[""7.9121616832389376921172836053154995213818022608260437467607935018740689257324683950903841965890861753993508987"",""7.8639402995603623897473400739797165502197661337589063205920639786128629918989076676622570818909721756535559655""]},{""digits"":160,""lambda"":[""2.81285649887066540558359215608222942025478817604566577154903375511520338676904990588233695019376549600183754487468694498373931608979572912866543710714"",""2.80427179488015433517081340730051575082227028633040061502696437575575635514609661770851663951985231102320343676974809378763094942324030820137411864798""],""y"":[""7.9121616832389376921172836053154995213818022608260437467607935018740689257324683950903841965890860405984475681067753245484626510223562194165576743237"",""7.86394029956036238974734007397971655021976613375890632059206397861286299189890766766225708189097217523334851049055556997277912217552464515790743326267""]}]",7.912161683238949,7.863940299560373,1.1502556921895317025e-14,FP64 localization followed by 4x4 finite-ring Evans root solving,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE,
260,-1,2,3,29,7.914971041279701639648987801800650595970073621073782582281981822290587246330014948624,7.890729203630859390738832669864547944970865817202221273608886970978597044036203473081,0.02424183764884224891015513193610265099920780387156130867309485131199020229381147554278,0.02424183764884224891015513193610265099920780387156130867309485131199020229381147554278,160,"[{""digits"":80,""lambda"":[""2.813355832680910919906939827324362354520902993772985104108971590284502"",""2.809044179722145165880165929077838041904570994870042016698641357363203""],""y"":[""7.914971041279701639648987801800650595970073621073782582282045698465586"",""7.890729203630859390738832669864547944970865817202221273609773974491102""]},{""digits"":120,""lambda"":[""2.8133558326809109199069398273243623545209029937729851041089602379745206948978780113120936062129204491218072421"",""2.8090441797221451658801659290778380419045709948700420166984834738527000495250262816811563377674614973339375259""],""y"":[""7.9149710412797016396489878018006505959700736210737825822819818222905872463300149486238211415907703900814706238"",""7.8907292036308593907388326698645479449708658172022212736088869709785970440362034730810436003558574112944682165""]},{""digits"":160,""lambda"":[""2.81335583268091091990693982732436235452090299377298510410896023797452069489787801131209360621292045061816153188057559012058411607513140909004725492769"",""2.80904417972214516588016592907783804190457099487004201669848347385270004952502628168115633776746149421230223803236698660521071050360294450556093448415""],""y"":[""7.91497104127970163964898780180065059597007362107378258228198182229058724633001494862382114159077039850102476144087908208136961252354054635342399093313"",""7.89072920363085939073883266986454794497086581720222127360888697097859704403620347308104360035585739375684534345524328250342546816751822440661330800831""]}]",7.914971041279717,7.890729203630875,1.5764090194781477424e-14,FP64 localization followed by 4x4 finite-ring Evans root solving,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE,0.502719660871091778399415135115922025551934425679731873888537
260,1,2,3,29,7.914971041279703051507876189294870397343573186223847328304741055840675721705259810642,7.890729203630812353968629405455006837114064593452805521793204272639112498760201112943,0.02424183764889069753924678383986356022950859277104180651153678320156322294505869769833,0.02424183764889069753924678383986356022950859277104180651153678320156322294505869769833,160,"[{""digits"":80,""lambda"":[""2.813355832680911170827721334386984876109273540570877830510564684241851"",""2.809044179722136793500239900806522472366160698204530670474573178638651""],""y"":[""7.914971041279703051507876189294870397343573186223847328304869710931889"",""7.89072920363081235396862940545500683711406459345280552179413566336131""]},{""digits"":120,""lambda"":[""2.8133558326809111708277213343869848761092735405708778305105418191833823167959155448954528554256829404594505164"",""2.8090441797221367935002399008065224723661606982045306704744073943606890774229204057354509136677040062667338053""],""y"":[""7.9149710412797030515078761892948703973435731862238473283047410558406757217052598106417446241580547657494545248"",""7.8907292036308123539686294054550068371140645934528055217932042726391124987602011129434117540215639687217695821""]},{""digits"":160,""lambda"":[""2.81335583268091117082772133438698487610927354057087783051054181918338231679591554489545285542568295780531521481764400330894251851278947016580509541194"",""2.80904417972213679350023990080652247236616069820453067047440739436068907742292040573545091366770401630406873357964442335861302048986509459077213179604""],""y"":[""7.9149710412797030515078761892948703973435731862238473283047410558406757217052598106417446241580548633496337688968067460757554406863038874666800410177"",""7.8907292036308123539686294054550068371140645934528055217932042726391124987602011129434117540215640251124041027402227425143143770452964533469345747095""]}]",7.9149710412797045,7.890729203630802,1.0029770017364382087e-14,FP64 localization followed by 4x4 finite-ring Evans root solving,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE,0.502719660855798177059916982917303732720200554435966594872227
260,-1,3,5,28,7.909774894347388571760780278416166211504885878759688556366679009838601713855222606461,7.900121124753625226695609123718897327348141235190375311484485290516358877337853514344,0.009653769593763345065171154697268884156744643569313244882193719322242836517369092117548,0.009653769593763345065171154697268884156744643569313244882193719322242836517369092117548,160,"[{""digits"":80,""lambda"":[""2.8124322026223829617801787150959912832549358896627480703211092800397"",""2.810715411555148040455138732097291826646122992349084719314651368331161""],""y"":[""7.909774894347388571760780278416166211504885878759688556367125435966212"",""7.900121124753625226695609123718897327348141235190375311484484836003975""]},{""digits"":120,""lambda"":[""2.8124322026223829617801787150959912832549358896627480703210299134816024974064769252696047314164883318863129579"",""2.810715411555148040455138732097291826646122992349084719314651449184665533150445936908857692972296810738152395""],""y"":[""7.909774894347388571760780278416166211504885878759688556366679009838601713855222606461235865657125947990253324"",""7.9001211247536252266956091237188973273481412351903753114844852905163588773378535143436876301139403063858280538""]},{""digits"":160,""lambda"":[""2.81243220262238296178017871509599128325493588966274807032102991348160249740647692526960473141648831467136953237832386580947953041902973999690393210606"",""2.81071541155514804045513873209729182664612299234908471931465144918466553315044593690885769297229679850833667549454983077657024891500408866157434460902""],""y"":[""7.90977489434738857176078027841616621150488587875968855636667900983860171385522260646123586565712585115853081147035277667759176966772071502626533991654"",""7.9001211247536252266956091237188973273481412351903753114844852905163588773378535143436876301139402376367650074254623006636749620823236650930499897683""]}]",7.909774894347387,7.900121124753617,8.5074349464751248904e-15,FP64 localization followed by 4x4 finite-ring Evans root solving,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE,0.398227631650870062638229498588737963155333627250143046138581
260,1,3,5,28,7.909774894347396737654446953246931372217693929547086644004357821452960048897145979228,7.900121124753593193326970913526159978627730177845882110926883005100354008683677878934,0.009653769593803544327476039720771393589963751701204533077474816352606040213468100294036,0.009653769593803544327476039720771393589963751701204533077474816352606040213468100294036,160,"[{""digits"":80,""lambda"":[""2.812432202622384413529603832036186887375219324367028245908766137496071"",""2.810715411555142342018273420571611601634763544094487442201497253944901""],""y"":[""7.909774894347396737654446953246931372217693929547086644005082863999281"",""7.900121124753593193326970913526159978627730177845882110926937518588199""]},{""digits"":120,""lambda"":[""2.8124322026223844135296038320361868873752193243670282459086372379361735981640537629557798116241012244429176956"",""2.8107154115551423420182734205716116016347635440944874422014875565049501453158694172369844647049002169639427449""],""y"":[""7.9097748943473967376544469532469313722176939295470866440043578214529600488971459792283285572699786549947569348"",""7.9001211247535931933269709135261599786277301778458821109268830051003540086836778789342929133686582102261554167""]},{""digits"":160,""lambda"":[""2.81243220262238441352960383203618688737521932436702824590863723793617359816405376295577981162410122314662072995560564950700101409281272541718334880347"",""2.81071541155514234201827342057161160163476354409448744220148755650495014531586941723698446470490021867625670147662298072494594470896942025176871521754""],""y"":[""7.90977489434739673765444695324693137221769392954708664400435782145296004889714597922832855726997864770326227387777316655135476524593689735305790811878"",""7.90012112475359319332697091352615997862773017784588211092688300510035400868367787893429291336865821985180987093743109051100683344321840616699216048847""]}]",7.909774894347395,7.900121124753589,4.0075973189688143556e-15,FP64 localization followed by 4x4 finite-ring Evans root solving,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE,0.398227631651732442783983081018052347401251033125966363004931
260,-1,4,7,27,7.907070485650773761935181445203186225986385605480271712377986146607348762421232428103,7.903532296332072685985816607642468614735866428858258358087918382183122313317199966536,0.003538189318701075949364837560717611250519176622013354290067764424226449104032461566887,0.003538189318701075949364837560717611250519176622013354290067764424226449104032461566887,160,"[{""digits"":80,""lambda"":[""2.811951366160299323951658552963719261662764462199818440614310496382933"",""2.811322161605117907121931040425295934939991446648378555752683002619892""],""y"":[""7.907070485650773761935181445203186225986385605480271712378726428539132"",""7.903532296332072685985816607642468614735866428858258358087809135786502""]},{""digits"":120,""lambda"":[""2.8119513661602993239516585529637192616627644621998184406141788650288683245455152614854988370982203370746709043"",""2.8113221616051179071219310404252959349399914466483785557527024323384263397820567470493750646965263027019719679""],""y"":[""7.9070704856507737619351814452031862259863856054802717123779861466073487624212324281030768328928706756082124227"",""7.9035322963320726859858166076424686147358664288582583580879183821831223133171999665361897189158670792973052732""]},{""digits"":160,""lambda"":[""2.8119513661602993239516585529637192616627644621998184406141788650288683245455152614854988370982203334414874052202318383891709979516113148514478037112"",""2.81132216160511790712193104042529593493999144664837855575270243233842633978205674704937506469652627806687660249299822457782696125021175114151308983319""],""y"":[""7.90707048565077376193518144520318622598638560548027171237798614660734876242123242810307683289287065517554181515166153052177755050691611289562256956512"",""7.90353229633207268598581660764246861473586642885825835808791838218312231331719996653618971891586694078292616513048008208899161396255459856169117447065""]}]",7.907070485650762,7.90353229633206,1.3126922761986422834e-14,FP64 localization followed by 4x4 finite-ring Evans root solving,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE,0.366508573084949474074061826434562749947784255789030922843247
260,1,4,7,27,7.907070485650807605967598503053117867984495471060838131355831620226419747208526538502,7.903532296332017006543027777853192034085841837553306446712842635697629242607597343789,0.003538189318790599424570725199925833898653633507531684642988984528790504600929194712462,0.003538189318790599424570725199925833898653633507531684642988984528790504600929194712462,160,"[{""digits"":80,""lambda"":[""2.811951366160305341842441506228720429515723437079806505485341201015846"",""2.811322161605108004407196091685404814295013230653600926220498735962438""],""y"":[""7.907070485650807605967598503053117867984495471060838131356623059400744"",""7.903532296332017006543027777853192034085841837553306446713212657612691""]},{""digits"":120,""lambda"":[""2.811951366160305341842441506228720429515723437079806505485200473266453179548746284427716567041729986179901863"",""2.8113221616051080044071960916854048142950132306536009262204329267285986902007889562045506703378103707111533491""],""y"":[""7.9070704856508076059675985030531178679844954710608381313558316202264197472085265385016243185250064208771694774"",""7.9035322963320170065430277778531920340858418375533064467128426356976292426075973437891624827450430003034098438""]},{""digits"":160,""lambda"":[""2.81195136616030534184244150622872042951572343707980650548520047326645317954874628442771656704172998663729112929845895368250103612050282829767947560965"",""2.81132216160510800440719609168540481429501323065360092622043292672859869020078895620455067033781037330065548297774922885932806943695972524460579670326""],""y"":[""7.90707048565080760596759850305311786798449547106083813135583162022641974720852653850162431852500642344948222188891571254826957545187589913013507378299"",""7.9035322963320170065430277778531920340858418375533064467128426356976292426075973437891624827450430148632593168369622611237503660755751839769679749313""]}]",7.907070485650808,7.903532296332015,1.856400958162895174e-15,FP64 localization followed by 4x4 finite-ring Evans root solving,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE,0.366508573092696717284368200564437040839518689306694756718428
260,-1,5,9,26,7.905989191758820880770115314490987054056617861257277594724313078155762915054947727306,7.90472865714246184992353554873145113963275069967804269493253477379887302595951168233,0.001260534616359030846579765759535914423867161579234899791778304356889889095436044976231,0.001260534616359030846579765759535914423867161579234899791778304356889889095436044976231,160,"[{""digits"":80,""lambda"":[""2.811759092055864746318564486144417789571599914855049552869323612219704"",""2.811534929027640917301008485607580006239395179184634769056482903122198""],""y"":[""7.90598919175882088077011531449098705405661786125727759472483092136662"",""7.904728657142461849923535548731451139632750699678042694934360591079582""]},{""digits"":120,""lambda"":[""2.8117590920558647463185644861444177895715999148550495528692315269460546604985623905306486035921131797261135953"",""2.8115349290276409173010084856075800062393951791846347690561582019666378778374341912794544976250730161649805214""],""y"":[""7.9059891917588208807701153144909870540566178612572775947243130781557629150549477273064047245419876260858466525"",""7.9047286571424618499235355487314511396327506996780426949325347737988730259595116823301735501146514106044238196""]},{""digits"":160,""lambda"":[""2.81175909205586474631856448614441778957159991485504955286923152694605466049856239053064860359211317887466134570693254647464974823659504042916166278994"",""2.81153492902764091730100848560758000623939517918463476905615820196663787783743419127945449762507300653812050081670248170481770660270607227323561980451""],""y"":[""7.90598919175882088077011531449098705405661786125727759472431307815576291505494772730640472454198762129768944395999504467946769386914616278941136261774"",""7.90472865714246184992353554873145113963275069967804269493253477379887302595951168233017355011465135647191741002148645659329584021744178730005955703527""]}]",7.905989191758825,7.904728657142465,3.8715284358605538625e-15,FP64 localization followed by 4x4 finite-ring Evans root solving,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE,0.356265451850324563864365451556558939372984482661657595958184
260,1,5,9,26,7.905989191758933131005057880600957413203647726377022396206320982874580046337888648231,7.904728657142327866867997997942343227391744747005559891963654539957591784009124496299,0.001260534616605264137059882658614185811902979371462504242666442916988262328764151931765,0.001260534616605264137059882658614185811902979371462504242666442916988262328764151931765,160,"[{""digits"":80,""lambda"":[""2.811759092055884707174254383117863010343076023161466826837579975261678"",""2.8115349290276170899150930118654351768948658094427917208903240803932""],""y"":[""7.905989191758933131005057880600957413203647726377022396205720130737717"",""7.904728657142327866867997997942343227391744747005559891964266312454114""]},{""digits"":120,""lambda"":[""2.8117590920558847071742543831178630103430760231614668268376868215662855317246686234941794578590012009506426311"",""2.8115349290276170899150930118654351768948658094427917208902152835060962927427383660342012515597783219412721537""],""y"":[""7.9059891917589331310050578806009574132036477263770223962063209828745800463378886482306052017626528590434054262"",""7.9047286571423278668679979979423432273917447470055598919636545399575917840091244962988406660122975849773091175""]},{""digits"":160,""lambda"":[""2.81175909205588470717425438311786301034307602316146682683768682156628553172466862349417945785900120826013424969742962207625914504578410173932770197714"",""2.81153492902761708991509301186543517689486580944279172089021528350609629274273836603420125155977833109755729210883697386268443100109683970650208294406""],""y"":[""7.90598919175893313100505788060095741320364772637702239620632098287458004633788864823060520176265290014846446003884151484918088957576174699283982887283"",""7.9047286571423278668679979979423432273917447470055598919636545399575917840091244962988406660122976364637400910414726817993514197648701496866030270528""]}]",7.905989191758935,7.904728657142333,5.1035409175732275845e-15,FP64 localization followed by 4x4 finite-ring Evans root solving,HIGH_PRECISION_TRANSFER_EVANS_EVIDENCE,0.356265451910903337305449721995995715648220124316789453229538
