n,bulk_cells,closure_tail_cells,R_squared,c,error,mu,exponent,normalized_error,solver,precision,residual,evidence_status
18,2,2,7.874035029915879,7.905369311620327,-0.03133428170444841,0.35050611613292243,2,0.2550518878317525,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
26,3,3,7.894413423230375,7.905369311620327,-0.010955888389951873,0.35050611613292243,3,0.25442559431759604,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
34,4,4,7.901613226750367,7.905369311620327,-0.0037560848699600413,0.35050611613292243,4,0.2488587953386037,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
42,5,5,7.904074545050893,7.905369311620327,-0.0012947665694342803,0.35050611613292243,5,0.24474480079231523,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
50,6,6,7.904919714065011,7.905369311620327,-0.0004495975553160392,0.35050611613292243,6,0.2424657151731057,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
58,7,7,7.905212448631165,7.905369311620327,-0.0001568629891623985,0.35050611613292243,7,0.2413522115521144,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
66,8,8,7.905314445381976,7.905369311620327,-5.4866238350825824e-05,0.35050611613292243,8,0.2408465232060158,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
74,9,9,7.905350098137491,7.905369311620327,-1.9213482835844786e-05,0.35050611613292243,9,0.2406277397468837,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
82,10,10,7.905362579736623,7.905369311620327,-6.73188370381439e-06,0.35050611613292243,10,0.24053628498643004,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
90,11,11,7.905366952419517,7.905369311620327,-2.3592008098205497e-06,0.35050611613292243,11,0.2404990152503373,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
98,12,12,7.9053684847572425,7.905369311620327,-8.268630846686165e-07,0.35050611613292243,12,0.2404841160404028,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
106,13,13,7.905369021806829,7.905369311620327,-2.898134985329648e-07,0.35050611613292243,13,0.240478249699939,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
114,14,14,7.905369210039885,7.905369311620327,-1.015804418358357e-07,0.35050611613292243,14,0.2404759724609813,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
122,15,15,7.905369276015901,7.905369311620327,-3.5604426074087314e-08,0.35050611613292243,15,0.24047502642516586,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
130,16,16,7.905369299140775,7.905369311620327,-1.2479552502497882e-08,0.35050611613292243,16,0.24047470659250753,dense eigvalsh,double,1e-14,RESOLVED_DOUBLE_ERROR
258,32,32,7.905369311620326,7.905369311620327,-8.881784197001252e-16,0.35050611613292243,32,,dense eigvalsh,double,1e-14,BELOW_DOUBLE_RESOLUTION
514,64,64,7.905369311620326,7.905369311620327,-8.881784197001252e-16,0.35050611613292243,64,,deterministic sparse A^2 power iteration,double,1.9995671643963274e-10,BELOW_DOUBLE_RESOLUTION
1026,128,128,7.905369311620329,7.905369311620327,1.7763568394002505e-15,0.35050611613292243,128,,deterministic sparse A^2 power iteration,double,1.9758593704629617e-10,BELOW_DOUBLE_RESOLUTION
