residue_mod_8,n,family,rho_squared,difference_from_c6,status
2,130,single +2 / G6,7.905369299140772,-1.247955516703314e-08,FP64_STRUCTURED_EVIDENCE
2,258,single +2 / G6,7.905369311620327,0.0,BELOW_DOUBLE_RESOLUTION
2,514,single +2 / G6,7.905369311620326,-8.881784197001252e-16,BELOW_DOUBLE_RESOLUTION
2,1026,single +2 / G6,7.905369311620329,1.7763568394002505e-15,BELOW_DOUBLE_RESOLUTION
4,124,two separated +2 / two G6,7.905419858691441,5.0547071113626885e-05,FP64_STRUCTURED_EVIDENCE
4,252,two separated +2 / two G6,7.90536932318272,1.1562392820962941e-08,FP64_STRUCTURED_EVIDENCE
4,508,two separated +2 / two G6,7.905369311620326,-8.881784197001252e-16,BELOW_DOUBLE_RESOLUTION
6,134,three separated +2 / three G6,7.9065090477948194,0.0011397361744922563,FP64_STRUCTURED_EVIDENCE
6,262,three separated +2 / three G6,7.9053748847239085,5.57310358129115e-06,FP64_STRUCTURED_EVIDENCE
6,510,three separated +2 / three G6,7.905369311653343,3.3015368217093055e-11,FP64_STRUCTURED_EVIDENCE
