gap,charge,orientation,root_index,lambda,R_squared,core_mass,boundary_mass,width_120_to_180_difference,localized_root_below_8,evidence_status
1,-3,canonical left/right,0,3.0440642368662507,9.266327078168109,0.9999654190962513,2.5952150859819783e-43,3.552713678800501e-15,False,DETERMINISTIC_DOUBLE_OPEN_INTERFACE
2,-2,canonical left/right,0,2.8427074774067576,8.08098580210429,0.9925383132569421,3.2698990866111265e-29,1.4210854715202004e-14,False,DETERMINISTIC_DOUBLE_OPEN_INTERFACE
3,-1,canonical left/right,0,2.8268094419481695,7.990851621087321,0.9870318759842933,8.760136000501733e-25,4.440892098500626e-15,True,DETERMINISTIC_DOUBLE_OPEN_INTERFACE
5,1,canonical left/right,0,2.884586854657326,8.320841322061845,0.9988036817042836,3.2138556801367124e-31,1.0658141036401503e-14,False,DETERMINISTIC_DOUBLE_OPEN_INTERFACE
6,2,canonical left/right,0,2.811648859943277,7.905369311620329,0.9787307012502305,3.708543736644858e-19,1.2434497875801753e-14,True,DETERMINISTIC_DOUBLE_OPEN_INTERFACE
7,3,canonical left/right,0,2.858109120857248,8.168787746727391,0.9941202550975198,5.6530912721587616e-30,0.0,False,DETERMINISTIC_DOUBLE_OPEN_INTERFACE
8,4,canonical left/right,0,2.8159885713629498,7.9297916340467465,0.9877410114874793,1.2874243680568781e-21,9.769962616701378e-15,True,DETERMINISTIC_DOUBLE_OPEN_INTERFACE
9,5,canonical left/right,0,2.8609920139387333,8.185275303821209,0.9913201406239995,7.813805495928943e-29,1.7763568394002505e-15,False,DETERMINISTIC_DOUBLE_OPEN_INTERFACE
10,6,canonical left/right,0,2.82437681097982,7.977104370400539,0.9903086748016754,1.6406052840491233e-24,4.440892098500626e-14,True,DETERMINISTIC_DOUBLE_OPEN_INTERFACE
11,7,canonical left/right,0,2.855504642005194,8.153906760513213,0.9909683858337994,1.2775547858153174e-30,3.197442310920451e-14,False,DETERMINISTIC_DOUBLE_OPEN_INTERFACE
12,8,canonical left/right,0,2.828409821856342,7.999902120373423,0.9956014175178428,5.650061813184068e-26,5.773159728050814e-14,True,DETERMINISTIC_DOUBLE_OPEN_INTERFACE
