period,Q_bits,primitive_Q_period,primitive_tau_period,gap_word,charge_word,defect_density,charge_density,R_squared,band_at_8,source,status
2,00,1,2,,,0.0,0.0,8.000000000000002,R_EQ_8_NUMERIC,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
4,0000,1,2,,,0.0,0.0,8.000000000000005,R_EQ_8_NUMERIC,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
6,000000,1,2,,,0.0,0.0,8.000000000000005,R_EQ_8_NUMERIC,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
8,00000000,1,2,,,0.0,0.0,8.000000000000005,R_EQ_8_NUMERIC,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
8,00010001,4,8,4 4,0 0,0.25,0.0,7.80422606518062,R_LT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
10,0000000000,1,2,,,0.0,0.0,7.999999999999998,R_EQ_8_NUMERIC,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
10,0000010001,10,10,4 6,0 2,0.2,0.2,7.916381551744975,R_LT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
12,000000000000,1,2,,,0.0,0.0,8.000000000000005,R_EQ_8_NUMERIC,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
12,000000010001,12,12,4 8,0 4,0.16666666666666666,0.3333333333333333,7.935544897091352,R_LT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
14,00000000000000,1,2,,,0.0,0.0,8.000000000000004,R_EQ_8_NUMERIC,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
14,00000000010001,14,14,4 10,0 6,0.14285714285714285,0.42857142857142855,7.9634702194602855,R_LT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
14,00010010001001,7,14,3 4 3 4,-1 0 -1 0,0.2857142857142857,-0.14285714285714285,7.999999999999998,R_EQ_8_NUMERIC,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
16,0000000000000000,1,2,,,0.0,0.0,8.00000000000001,R_EQ_8_NUMERIC,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
16,0000000000010001,16,16,4 12,0 8,0.125,0.5,7.995510103071567,R_LT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
16,0001000100010001,4,8,4 4 4 4,0 0 0 0,0.25,0.0,7.804226065180615,R_LT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
17,10000000000000000,17,17,17,13,0.058823529411764705,0.7647058823529411,8.334280211176717,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
17,10001000100000000,17,17,4 4 9,0 0 5,0.17647058823529413,0.29411764705882354,8.258281990101977,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
17,10010001000000000,17,17,3 4 10,-1 0 6,0.17647058823529413,0.29411764705882354,8.139899309432042,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
17,10010010000000000,17,17,3 3 11,-1 -1 7,0.17647058823529413,0.29411764705882354,8.270734577613528,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
17,10010010001001000,17,17,3 3 4 3 4,-1 -1 0 -1 0,0.29411764705882354,-0.17647058823529413,8.052098453599836,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
17,10010010010001000,17,17,3 3 3 4 4,-1 -1 -1 0 0,0.29411764705882354,-0.17647058823529413,8.09739524355447,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
17,10100010010001000,17,17,2 4 3 4 4,-2 0 -1 0 0,0.29411764705882354,-0.17647058823529413,8.136083252851083,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
18,000000000000000000,1,2,,,0.0,0.0,7.999999999999998,R_EQ_8_NUMERIC,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
18,100010000000000000,18,18,4 14,0 10,0.1111111111111111,0.5555555555555556,8.010804712050879,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
18,100010001000100000,18,18,4 4 4 6,0 0 0 2,0.2222222222222222,0.1111111111111111,7.924384897027763,R_LT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
18,100010010001000000,18,18,4 3 4 7,0 -1 0 3,0.2222222222222222,0.1111111111111111,8.198179878318484,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
18,100010100010000000,18,18,4 2 4 8,0 -2 0 4,0.2222222222222222,0.1111111111111111,8.11199004263806,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
18,100100000000000000,18,18,3 15,-1 11,0.1111111111111111,0.5555555555555556,8.322273830970683,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
18,100100010001000000,18,18,3 4 4 7,-1 0 0 3,0.2222222222222222,0.1111111111111111,8.282374824462522,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
18,100100010010000000,18,18,3 4 3 8,-1 0 -1 4,0.2222222222222222,0.1111111111111111,8.116827540114182,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
18,100100100010000000,18,18,3 3 4 8,-1 -1 0 4,0.2222222222222222,0.1111111111111111,8.140906035893767,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
18,100100100100100100,3,3,3 3 3 3 3 3,-1 -1 -1 -1 -1 -1,0.3333333333333333,-0.3333333333333333,8.116273860301355,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
19,1000000000000000000,19,19,19,15,0.05263157894736842,0.7894736842105263,8.313695100972547,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
19,1000100000010000000,19,19,4 7 8,0 3 4,0.15789473684210525,0.3684210526315789,8.274632714782392,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
19,1000100000100000000,19,19,4 6 9,0 2 5,0.15789473684210525,0.3684210526315789,8.261206423649195,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
19,1000100010000000000,19,19,4 4 11,0 0 7,0.15789473684210525,0.3684210526315789,8.219579207964518,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
19,1001000100000000000,19,19,3 4 12,-1 0 8,0.15789473684210525,0.3684210526315789,8.149545286149937,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
19,1001000100010001000,19,19,3 4 4 4 4,-1 0 0 0 0,0.2631578947368421,-0.05263157894736842,8.024712014204079,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
19,1001001000000000000,19,19,3 3 13,-1 -1 9,0.15789473684210525,0.3684210526315789,8.26389733161404,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
19,1001001000100100000,19,19,3 3 4 3 6,-1 -1 0 -1 2,0.2631578947368421,-0.05263157894736842,8.130988559981823,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
19,1001001001000100000,19,19,3 3 3 4 6,-1 -1 -1 0 2,0.2631578947368421,-0.05263157894736842,8.126001800794054,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
19,1001001001001000000,19,19,3 3 3 3 7,-1 -1 -1 -1 3,0.2631578947368421,-0.05263157894736842,8.302079522063925,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,00000000000000000000,1,2,,,0.0,0.0,8.000000000000005,R_EQ_8_NUMERIC,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10001000000000000000,20,20,4 16,0 12,0.1,0.6,8.023307692361815,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10001000001000100000,10,10,4 6 4 6,0 2 0 2,0.2,0.2,7.916381551744975,R_LT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10001000100000100000,20,20,4 4 6 6,0 0 2 2,0.2,0.2,8.076280966732854,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10001000100010000000,20,20,4 4 4 8,0 0 0 4,0.2,0.2,7.930895693859757,R_LT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10001001000100000000,20,20,4 3 4 9,0 -1 0 5,0.2,0.2,8.215509936011175,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10001010001000000000,20,20,4 2 4 10,0 -2 0 6,0.2,0.2,8.12797546642945,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10010000000000000000,20,20,3 17,-1 13,0.1,0.6,8.308355857715384,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10010000010001000000,20,20,3 6 4 7,-1 2 0 3,0.2,0.2,8.263493283841093,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10010001000100000000,20,20,3 4 4 9,-1 0 0 5,0.2,0.2,8.296122140272104,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10010001001000000000,20,20,3 4 3 10,-1 0 -1 6,0.2,0.2,8.138652440587544,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10010010001000000000,20,20,3 3 4 10,-1 -1 0 6,0.2,0.2,8.151862512179973,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10010010001001001000,10,20,3 3 4 3 3 4,-1 -1 0 -1 -1 0,0.3,-0.2,8.03384239038504,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10010010010000000000,20,20,3 3 3 11,-1 -1 -1 7,0.2,0.2,8.271229488897696,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10010010010001001000,20,20,3 3 3 4 3 4,-1 -1 -1 0 -1 0,0.3,-0.2,8.060469345868146,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10010010010010001000,20,20,3 3 3 3 4 4,-1 -1 -1 -1 0 0,0.3,-0.2,8.080676422945256,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10100010001010001000,10,20,2 4 4 2 4 4,-2 0 0 -2 0 0,0.3,-0.2,8.123105622990614,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10100010010001001000,20,20,2 4 3 4 3 4,-2 0 -1 0 -1 0,0.3,-0.2,8.099609511235377,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
20,10100010010010001000,20,20,2 4 3 3 4 4,-2 0 -1 -1 0 0,0.3,-0.2,8.115504656789836,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
21,100000000000000000000,21,21,21,17,0.047619047619047616,0.8095238095238095,8.297961071393901,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
21,100010000000100000000,21,21,4 8 9,0 4 5,0.14285714285714285,0.42857142857142855,8.282368385068201,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
21,100010000010000000000,21,21,4 6 11,0 2 7,0.14285714285714285,0.42857142857142855,8.226441957259054,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
21,100010001000000000000,21,21,4 4 13,0 0 9,0.14285714285714285,0.42857142857142855,8.20530818765613,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
21,100010001000100010000,21,21,4 4 4 4 5,0 0 0 0 1,0.23809523809523808,0.047619047619047616,8.335598711700186,R_GT_8,reused exact p<=24 frontier,NUMERICAL_BLOCH_ATLAS
