period,separation,normalized_separation,q_bits,primitive_q_period,primitive_tau_period,repeated_target,R_squared_estimate,gap_from_eta,gap_from_8,certificate_status,first_positive_moment
8,4,0.5,10001000,4,8,True,7.804226065180642,2.7533531010703882e-14,-0.1957739348193579,CERTIFIED_R_EQ_ETA,
10,4,0.4,1000100000,10,10,False,7.91638155174498,0.11215548656436525,-0.08361844825502018,CERTIFIED_R_GT_ETA,
12,4,0.3333333333333333,100010000000,12,12,False,7.935544897091367,0.1313188319107521,-0.06445510290863332,CERTIFIED_R_GT_ETA,
14,4,0.2857142857142857,10001000000000,14,14,False,7.963470219460301,0.15924415427968608,-0.03652978053969935,CERTIFIED_R_GT_ETA,
16,4,0.25,1000100000000000,16,16,False,7.995510103071575,0.19128403789096016,-0.004489896928425274,CERTIFIED_R_GT_ETA,
18,4,0.2222222222222222,100010000000000000,18,18,False,8.010804712050895,0.20657864687028038,0.010804712050894949,CERTIFIED_R_GT_ETA,
20,4,0.2,10001000000000000000,20,20,False,8.023307692361833,0.21908162718121815,0.02330769236183272,CERTIFIED_R_GT_ETA,
22,4,0.18181818181818182,1000100000000000000000,22,22,False,8.031165732719613,0.22693966753899808,0.03116573271961265,CERTIFIED_R_GT_ETA,
24,4,0.16666666666666666,100010000000000000000000,24,24,False,8.037053649242527,0.23282758406191206,0.03705364924252663,CERTIFIED_R_GT_ETA,
26,4,0.15384615384615385,10001000000000000000000000,26,26,False,8.0411832431662,0.2369571779855857,0.041183243166200256,CERTIFIED_R_GT_ETA,
28,4,0.14285714285714285,1000100000000000000000000000,28,28,False,8.044247422821195,0.24002135764058075,0.044247422821195315,CERTIFIED_R_GT_ETA,
30,4,0.13333333333333333,100010000000000000000000000000,30,30,False,8.046494046300735,0.24226798112012027,0.04649404630073484,CERTIFIED_R_GT_ETA,
32,4,0.125,10001000000000000000000000000000,32,32,False,8.048173082422506,0.24394701724189183,0.0481730824225064,CERTIFIED_R_GT_ETA,
34,4,0.11764705882352941,1000100000000000000000000000000000,34,34,False,8.049427694099764,0.24520162891914943,0.049427694099764,CERTIFIED_R_GT_ETA,
36,4,0.1111111111111111,100010000000000000000000000000000000,36,36,False,8.0503712025022,0.2461451373215855,0.05037120250220006,CERTIFIED_R_GT_ETA,
38,4,0.10526315789473684,10001000000000000000000000000000000000,38,38,False,8.051080802630244,0.24685473744962927,0.05108080263024384,CERTIFIED_R_GT_ETA,
40,4,0.1,1000100000000000000000000000000000000000,40,40,False,8.051614613081778,0.2473885479011635,0.05161461308177806,CERTIFIED_R_GT_ETA,
42,4,0.09523809523809523,100010000000000000000000000000000000000000,42,42,False,8.052014964159014,0.24778889897839917,0.052014964159013743,CERTIFIED_R_GT_ETA,
44,4,0.09090909090909091,10001000000000000000000000000000000000000000,44,44,False,8.05231373087487,0.24808766569425522,0.05231373087486979,CERTIFIED_R_GT_ETA,
46,4,0.08695652173913043,1000100000000000000000000000000000000000000000,46,46,False,8.052534845424645,0.2483087802440309,0.05253484542464548,CERTIFIED_R_GT_ETA,
48,4,0.08333333333333333,100010000000000000000000000000000000000000000000,48,48,False,8.052696518708025,0.24847045352741048,0.05269651870802505,CERTIFIED_R_GT_ETA,
50,4,0.08,10001000000000000000000000000000000000000000000000,50,50,False,8.052812654347315,0.24858658916670073,0.0528126543473153,CERTIFIED_R_GT_ETA,
52,4,0.07692307692307693,1000100000000000000000000000000000000000000000000000,52,52,False,8.05289393818499,0.24866787300437565,0.05289393818499022,CERTIFIED_R_GT_ETA,
54,4,0.07407407407407407,100010000000000000000000000000000000000000000000000000,54,54,False,8.052948610918499,0.2487225457378841,0.05294861091849867,CERTIFIED_R_GT_ETA,
56,4,0.07142857142857142,10001000000000000000000000000000000000000000000000000000,56,56,False,8.052983049719085,0.2487569845384705,0.052983049719085074,CERTIFIED_R_GT_ETA,
58,4,0.06896551724137931,1000100000000000000000000000000000000000000000000000000000,58,58,False,8.053002199316463,0.24877613413584854,0.053002199316463106,CERTIFIED_R_GT_ETA,
60,4,0.06666666666666667,100010000000000000000000000000000000000000000000000000000000,60,60,False,8.053009898514393,0.2487838333337784,0.05300989851439297,CERTIFIED_R_GT_ETA,
62,4,0.06451612903225806,10001000000000000000000000000000000000000000000000000000000000,62,62,False,8.053009127866652,0.24878306268603723,0.053009127866651795,CERTIFIED_R_GT_ETA,
64,4,0.0625,1000100000000000000000000000000000000000000000000000000000000000,64,64,False,8.053002199517048,0.24877613433643297,0.053002199517047544,CERTIFIED_R_GT_ETA,
