id,cite_key,collection,topic,status,year,authors,title,venue,volume,issue,pages_or_article,doi,arxiv,local_fulltext,manuscript_role,decision
R001,Harary1953,manuscript_core,switching_balance,published,1953,Frank Harary,On the notion of balance of a signed graph,Michigan Mathematical Journal,2,2,143-146,10.1307/mmj/1028989917,,,classical balance origin,cite once with Zaslavsky
R002,Zaslavsky1982,manuscript_core,switching_balance,published,1982,Thomas Zaslavsky,Signed graphs,Discrete Applied Mathematics,4,1,47-74,10.1016/0166-218X(82)90033-6,,,systematic signed-graph and switching framework,cite once with Harary
R003,BelardoEtAl2018,manuscript_core,signed_spectral_programme,published,2018,Francesco Belardo; Sebastian M. Cioaba; Jack H. Koolen; Jianfeng Wang,Open problems in the spectral theory of signed graphs,The Art of Discrete and Applied Mathematics,1,2,P2.10,10.26493/2590-9770.1286.d7b,1907.04349,research/related_work/papers/core/2018_Belardo_OpenProblemsSignedGraphs.pdf,fixed-graph signed spectral programme,retain
R004,BiluLinial2006,manuscript_core,two_lifts,published,2006,Yonatan Bilu; Nathan Linial,"Lifts, discrepancy and nearly optimal spectral gap",Combinatorica,26,5,495-519,10.1007/s00493-006-0029-7,math/0312022,research/related_work/papers/historical/2006_BiluLinial_LiftsDiscrepancy.pdf,signing and two-lift existence line,retain with MSS
R005,MarcusSpielmanSrivastava2015,manuscript_core,two_lifts,published,2015,Adam W. Marcus; Daniel A. Spielman; Nikhil Srivastava,Interlacing families I: Bipartite Ramanujan graphs of all degrees,Annals of Mathematics,182,1,307-325,10.4007/annals.2015.182.1.7,1304.4132,research/related_work/papers/historical/2015_Marcus_InterlacingFamiliesI.pdf,sharp bipartite signing existence context,retain with Bilu-Linial
R006,Reff2012,manuscript_core,gain_graphs,published,2012,Nathan Reff,Spectral properties of complex unit gain graphs,Linear Algebra and its Applications,436,9,3165-3176,10.1016/j.laa.2011.10.021,1110.4554,,gain-graph gauge and spectral invariance,retain
R007,KorotyaevSaburova2017,manuscript_core,periodic_magnetic_graphs,published,2017,Evgeny Korotyaev; Natalia Saburova,Magnetic Schrodinger operators on periodic discrete graphs,Journal of Functional Analysis,272,4,1625-1660,10.1016/j.jfa.2016.12.015,,,periodic magnetic graph framework,retain
R008,KorotyaevSaburova2023,manuscript_core,periodic_magnetic_graphs,published,2023,Evgeny Korotyaev; Natalia Saburova,Trace formulas for magnetic Schrodinger operators on periodic graphs and their applications,Linear Algebra and its Applications,676,,395-440,10.1016/j.laa.2023.07.025,2206.09663,research/related_work/papers/methods/2023_Korotyaev_TraceFormulasPeriodicMagneticGraphs.pdf,flux and Floquet graph-operator precedent,retain
R009,Davis1979,manuscript_core,circulant_spectra,book,1979,Philip J. Davis,Circulant Matrices,Wiley,,,ISBN 9780471057710,,,,classical scalar Fourier/circulant reference,retain
R010,BrunettiStanic2022,manuscript_core,signed_spectral_extrema,published,2022,Maurizio Brunetti; Zoran Stanic,Unbalanced signed graphs with extremal spectral radius or index,Computational and Applied Mathematics,41,,118,10.1007/s40314-022-01814-5,,research/related_work/papers/core/2022_Brunetti_UnbalancedSignedGraphsExtremal.pdf,exact signed spectral-radius extremal analogue,retain
R011,GhorbaniMajidi2024,manuscript_core,signed_spectral_extrema,published,2024,Ebrahim Ghorbani; Arezoo Majidi,Complete signed graphs with largest maximum or smallest minimum eigenvalue,Discrete Mathematics,347,4,113860,10.1016/j.disc.2023.113860,,research/related_work/papers/core/2024_Ghorbani_CompleteSignedGraphs.md,fixed underlying graph-family extremal analogue,retain
R012,,reserve,signed_cayley_spectra,published,2025,Chunyang Hu; Shiping Liu,Vertex isoperimetry on signed graphs and spectra of non-bipartite Cayley and Cayley sum graphs,European Journal of Combinatorics,130,,104200,10.1016/j.ejc.2025.104200,2306.05306,research/related_work/papers/core/2025_Hu_VertexIsoperimetrySignedCayley.pdf,neighboring signed Cayley spectral context,reserve because it does not advance the current problem chain
R013,AtayHua2016,manuscript_core,chiral_spectral_symmetry,published,2016,Fatihcan M. Atay; Bobo Hua,On the symmetry of the Laplacian spectra of signed graphs,Linear Algebra and its Applications,495,,24-37,10.1016/j.laa.2016.01.027,1411.6113,,signed spectral-symmetry neighbor,retain with scope distinction
R014,CedzichEtAl2021,manuscript_core,chiral_spectral_symmetry,published,2021,C. Cedzich; T. Geib; A. H. Werner; R. F. Werner,Chiral Floquet systems and quantum walks at half-period,Annales Henri Poincare,22,2,375-413,10.1007/s00023-020-00982-6,2006.04634,,half-period chiral operator neighbor,retain with scope distinction
R015,Suvagiya2026,specific_recent_context,direct_preprint,preprint,2026,Vaibhav Suvagiya,Signed circulants at the Ramanujan bound,arXiv,,,,,2607.18334,research/related_work/papers/core/2026_Suvagiya_SignedCirculants_PREPRINT.pdf,direct twisted-candidate conjecture source,cite once late
