id,tier,authors,title,venue,year,volume,issue,pages,article,doi,arxiv,role,status
S1,S,Francesco Belardo; Sebastian M. Cioaba; Jack H. Koolen; Jianfeng Wang,Open problems in the spectral theory of signed graphs,The Art of Discrete and Applied Mathematics,2018,,,,,10.26493/2590-9770.1286.d7b,1907.04349,Published problem formulation for fixed-graph signature minimization,published; local OA version of record
S2,S,Maurizio Brunetti; Zoran Stanic,Unbalanced signed graphs with extremal spectral radius or index,Computational and Applied Mathematics,2022,41,,,118,10.1007/s40314-022-01814-5,,Published signed spectral-radius extremal classification,published; local OA version of record
S3,S,Evgeny Korotyaev; Natalia Saburova,Trace formulas for magnetic Schrodinger operators on periodic graphs and their applications,Linear Algebra and its Applications,2023,676,,395-440,,10.1016/j.laa.2023.07.025,2206.09663,Periodic magnetic graph / flux / Floquet method precedent,published; local author manuscript
S4,S-PREPRINT,Vaibhav Suvagiya,Signed circulants at the Ramanujan bound,arXiv,2026,,,,,,2607.18334v1,"Direct source of the C_n(1,2) conjecture, flux coordinates, and twisted benchmark",preprint; local arXiv PDF
A1,A,Ebrahim Ghorbani; Arezoo Majidi,Complete signed graphs with largest maximum or smallest minimum eigenvalue,Discrete Mathematics,2024,347,4,,113860,10.1016/j.disc.2023.113860,,Fixed underlying graph-family signed adjacency extremal analogue,published; full text not publicly archived in this library
A2,A,Chunyang Hu; Shiping Liu,Vertex isoperimetry on signed graphs and spectra of non-bipartite Cayley and Cayley sum graphs,European Journal of Combinatorics,2025,130,,,104200,10.1016/j.ejc.2025.104200,2306.05306,Modern non-bipartite Cayley/signed spectral context,published; local arXiv author manuscript
A3,A,Francesco Belardo; Maurizio Brunetti,Limit points for the spectral radii of signed graphs,Discrete Mathematics,2024,347,2,,113745,10.1016/j.disc.2023.113745,,Published spectral-radius program and all-limit-point classification,"published OA; official PDF URL recorded, local download blocked"
A4,A,Maurizio Brunetti; Vilmar Trevisan,Limit points for the spectral radii of unbalanced signed graphs,Discrete Mathematics,2026,349,3,,114855,10.1016/j.disc.2025.114855,,Recent unbalanced signed-graph spectral-radius continuation,"published OA; official PDF URL recorded, local download blocked"
A5,A,Peter Kuchment; Boris Vainberg,On the structure of eigenfunctions corresponding to embedded eigenvalues of locally perturbed periodic graph operators,Communications in Mathematical Physics,2006,268,3,673-686,,10.1007/s00220-006-0105-2,math-ph/0511084,Local perturbation / localized-state method precedent,published; local arXiv author manuscript
A6,A,Huiqiu Lin; Bo Ning,A complete solution to the Cvetkovic-Rowlinson conjecture,Journal of Graph Theory,2021,97,3,441-450,,10.1002/jgt.22667,1912.11627,All-order spectral classification with analytic tail and finite closure,published; local arXiv author manuscript
A7,A,Jan Goedgebeur; Oliver Schaudt,Exhaustive generation of k-critical H-free graphs,Journal of Graph Theory,2018,87,2,188-207,,10.1002/jgt.22151,1506.03647,Proof-producing exhaustive generation and completeness architecture,published; local arXiv author manuscript
H1,HISTORICAL,Yonatan Bilu; Nathan Linial,"Lifts, discrepancy and nearly optimal spectral gap",Combinatorica,2006,26,5,495-519,,10.1007/s00493-006-0029-7,math/0312022,Signing/2-lift motivation,published; local arXiv author manuscript
H2,HISTORICAL,Adam W. Marcus; Daniel A. Spielman; Nikhil Srivastava,Interlacing families I: Bipartite Ramanujan graphs of all degrees,Annals of Mathematics,2015,182,1,307-325,,10.4007/annals.2015.182.1.7,1304.4132,One-sided versus bipartite two-sided signing benchmark,published; local arXiv author manuscript
